seed,cond,hf_ratio,mean_conf,hit
0,bicubic,0.16705,0.0572,0.0
0,burst,0.78768,0.0945,0.0
0,shuffle,0.66349,0.1151,0.0
1,bicubic,0.17147,0.0143,0.0
1,burst,0.81307,0.0891,0.0
1,shuffle,0.76847,0.0345,0.0
2,bicubic,0.15992,0.0386,0.0
2,burst,0.7796,0.0364,0.0
2,shuffle,0.70659,0.0702,0.0
3,bicubic,0.1621,0.0636,0.667
3,burst,0.79932,0.0518,0.0
3,shuffle,0.63693,0.0616,0.0
4,bicubic,0.19884,0.0619,0.667
4,burst,0.72556,0.0588,0.0
4,shuffle,0.74939,0.0722,0.0
5,bicubic,0.17613,0.0068,0.0
5,burst,0.81117,0.0072,0.0
5,shuffle,0.73389,0.0147,0.0
6,bicubic,0.20439,0.0411,0.333
6,burst,0.6825,0.0767,0.0
6,shuffle,0.6926,0.0476,0.333
7,bicubic,0.18576,0.0414,0.0
7,burst,0.66791,0.0315,0.0
7,shuffle,0.74342,0.01,0.0
8,bicubic,0.19948,0.0374,0.0
8,burst,0.80031,0.0465,0.0
8,shuffle,0.74721,0.0503,0.0
