contrast_tercile,phys_lo,phys_hi,n_gt,recall
low,0,8,0,
low,8,16,10,0.0
low,16,24,265,0.0
low,24,32,805,0.036
low,32,48,2165,0.1497
low,48,64,1265,0.502
low,64,96,1215,0.7844
low,96,128,525,0.7867
low,128,192,450,0.7844
low,192,inf,70,0.8429
mid,0,8,0,
mid,8,16,0,
mid,16,24,90,0.1222
mid,24,32,275,0.04
mid,32,48,1540,0.2039
mid,48,64,1695,0.6071
mid,64,96,1700,0.8247
mid,96,128,715,0.8112
mid,128,192,640,0.8125
mid,192,inf,140,0.9357
high,0,8,0,
high,8,16,0,
high,16,24,45,0.2
high,24,32,150,0.1933
high,32,48,1255,0.3378
high,48,64,1735,0.6605
high,64,96,2035,0.7951
high,96,128,810,0.8247
high,128,192,640,0.7844
high,192,inf,100,0.92
