arch,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,2747,0.8092,0.059,0.9435,0.0085,3
stock,mid,1238,0.3134,0.095,0.9315,0.0315,3
stock,far,82,0.1341,0.0244,1.0,0.0,3
stock,all,4067,0.6447,0.0691,0.9415,0.0116,3
yolo11s,near,2747,0.8389,0.0233,0.9296,0.0293,3
yolo11s,mid,1238,0.3576,0.0349,0.9101,0.0617,3
yolo11s,far,82,0.1341,0.0122,1.0,0.0,3
yolo11s,all,4067,0.6781,0.0224,0.9265,0.0344,3
yolov10s,near,2747,0.7675,0.0247,0.8365,0.0761,3
yolov10s,mid,1238,0.2146,0.0362,0.9448,0.0698,3
yolov10s,far,82,0.0285,0.007,1.0,0.0,3
yolov10s,all,4067,0.5843,0.0236,0.8474,0.0742,3
rtdetr-l,near,2747,0.9596,0.0088,0.8635,0.0324,3
rtdetr-l,mid,1238,0.7391,0.0944,0.8094,0.0781,3
rtdetr-l,far,82,0.3252,0.0576,0.7826,0.0167,3
rtdetr-l,all,4067,0.8797,0.035,0.8473,0.0468,3
