tag,tier,seed,full_ap,sahi_ap,delta
nearfar,near,nearfar_s0,0.953924,0.871123,-0.082801
nearfar,near,nearfar_s1,0.948497,0.882628,-0.065869
nearfar,near,nearfar_s2,0.950559,0.887612,-0.062947
nearfar,near,nearfar_s3,0.936569,0.892989,-0.04358
nearfar,near,nearfar_s4,0.95118,0.891758,-0.059422
nearfar,mid,nearfar_s0,0.458684,0.23284,-0.225843
nearfar,mid,nearfar_s1,0.469016,0.238578,-0.230438
nearfar,mid,nearfar_s2,0.486183,0.269382,-0.216801
nearfar,mid,nearfar_s3,0.477344,0.328482,-0.148862
nearfar,mid,nearfar_s4,0.450104,0.278952,-0.171152
nearfar,far,nearfar_s0,0.018718,0.002969,-0.015749
nearfar,far,nearfar_s1,0.033875,0.004427,-0.029449
nearfar,far,nearfar_s2,0.007412,0.002081,-0.005331
nearfar,far,nearfar_s3,0.008967,0.004295,-0.004672
nearfar,far,nearfar_s4,0.010792,0.00196,-0.008832
nearfar,all,nearfar_s0,0.852426,0.77089,-0.081536
nearfar,all,nearfar_s1,0.847383,0.773107,-0.074276
nearfar,all,nearfar_s2,0.852643,0.782666,-0.069976
nearfar,all,nearfar_s3,0.839482,0.798984,-0.040498
nearfar,all,nearfar_s4,0.850495,0.785736,-0.064759
