tag,tier,seed,full_ap,sahi_ap,delta
nearfar,near,nearfar_s0,0.957268,0.88093,-0.076338
nearfar,near,nearfar_s1,0.952701,0.894427,-0.058274
nearfar,near,nearfar_s2,0.954474,0.901234,-0.053239
nearfar,near,nearfar_s3,0.943059,0.910096,-0.032963
nearfar,near,nearfar_s4,0.955396,0.909319,-0.046077
nearfar,mid,nearfar_s0,0.695007,0.582282,-0.112726
nearfar,mid,nearfar_s1,0.68718,0.547316,-0.139864
nearfar,mid,nearfar_s2,0.681247,0.551655,-0.129592
nearfar,mid,nearfar_s3,0.663143,0.591175,-0.071968
nearfar,mid,nearfar_s4,0.681886,0.539506,-0.14238
nearfar,far,nearfar_s0,0.31499,0.152177,-0.162813
nearfar,far,nearfar_s1,0.317073,0.161005,-0.156068
nearfar,far,nearfar_s2,0.294525,0.039202,-0.255323
nearfar,far,nearfar_s3,0.283562,0.066935,-0.216627
nearfar,far,nearfar_s4,0.286009,0.042894,-0.243115
nearfar,all,nearfar_s0,0.852426,0.77089,-0.081536
nearfar,all,nearfar_s1,0.847383,0.773107,-0.074276
nearfar,all,nearfar_s2,0.852643,0.782666,-0.069976
nearfar,all,nearfar_s3,0.839482,0.798984,-0.040498
nearfar,all,nearfar_s4,0.850495,0.785736,-0.064759
