tag,tier,seed,full_ap,sahi_ap,delta
stock,near,stock_s0,0.754156,0.582563,-0.171593
stock,near,stock_s1,0.726606,0.602627,-0.123979
stock,near,stock_s2,0.806315,0.672566,-0.133749
stock,near,stock_s3,0.677893,0.62463,-0.053263
stock,near,stock_s4,0.770611,0.630486,-0.140125
stock,mid,stock_s0,0.445456,0.201212,-0.244244
stock,mid,stock_s1,0.335986,0.20376,-0.132226
stock,mid,stock_s2,0.214247,0.147989,-0.066258
stock,mid,stock_s3,0.206302,0.125603,-0.080699
stock,mid,stock_s4,0.254966,0.111586,-0.143379
stock,far,stock_s0,0.010616,0.003305,-0.007311
stock,far,stock_s1,0.00494,0.004569,-0.000372
stock,far,stock_s2,0.000244,0.003129,0.002885
stock,far,stock_s3,0.003019,0.002121,-0.000898
stock,far,stock_s4,0.003949,0.001656,-0.002293
stock,all,stock_s0,0.560314,0.422838,-0.137477
stock,all,stock_s1,0.50526,0.431832,-0.073428
stock,all,stock_s2,0.475583,0.423199,-0.052383
stock,all,stock_s3,0.442386,0.391123,-0.051263
stock,all,stock_s4,0.491047,0.383932,-0.107115
