tag,tier,seed,full_ap,sahi_ap,delta
stock,near,stock_s0,0.77136,0.612705,-0.158655
stock,near,stock_s1,0.74078,0.679136,-0.061644
stock,near,stock_s2,0.808667,0.734351,-0.074316
stock,near,stock_s3,0.680539,0.637976,-0.042563
stock,near,stock_s4,0.774207,0.668717,-0.10549
stock,mid,stock_s0,0.599458,0.507125,-0.092333
stock,mid,stock_s1,0.513586,0.39451,-0.119075
stock,mid,stock_s2,0.450489,0.331255,-0.119234
stock,mid,stock_s3,0.48765,0.437517,-0.050133
stock,mid,stock_s4,0.481997,0.297287,-0.18471
stock,far,stock_s0,0.161161,0.054014,-0.107147
stock,far,stock_s1,0.123065,0.029581,-0.093483
stock,far,stock_s2,0.03756,0.016657,-0.020903
stock,far,stock_s3,0.097962,0.03022,-0.067741
stock,far,stock_s4,0.113877,0.023194,-0.090683
stock,all,stock_s0,0.557404,0.422633,-0.134771
stock,all,stock_s1,0.50714,0.432796,-0.074343
stock,all,stock_s2,0.475812,0.423851,-0.051961
stock,all,stock_s3,0.442785,0.391496,-0.051289
stock,all,stock_s4,0.493078,0.38474,-0.108339
