seed,arm,frame,tile_idx,n_all_classes,n_plant,max_det,hit_cap
stock_s0,tile,20260705_132815_000024.jpg,0,641,300,12000,0
stock_s0,tile,20260705_132815_000024.jpg,1,635,222,12000,0
stock_s0,tile,20260705_132815_000024.jpg,2,590,245,12000,0
stock_s0,tile,20260705_132815_000024.jpg,3,537,144,12000,0
stock_s0,tile,20260705_132815_000024.jpg,4,541,183,12000,0
stock_s0,tile,20260705_132815_000024.jpg,5,447,173,12000,0
stock_s0,tile,20260705_132815_000024.jpg,6,400,187,12000,0
stock_s0,tile,20260705_132815_000024.jpg,7,442,197,12000,0
stock_s0,tile,20260705_132815_000024.jpg,8,590,288,12000,0
stock_s0,tile,20260705_132815_000024.jpg,9,638,281,12000,0
stock_s0,tile,20260705_132815_000024.jpg,10,649,326,12000,0
stock_s0,tile,20260705_132815_000024.jpg,11,476,216,12000,0
stock_s0,tile,20260705_132815_000024.jpg,12,516,267,12000,0
stock_s0,tile,20260705_132815_000024.jpg,13,411,227,12000,0
stock_s0,tile,20260705_132815_000024.jpg,14,496,294,12000,0
stock_s0,tile,20260705_132815_000024.jpg,15,542,350,12000,0
stock_s0,tile,20260705_132815_000024.jpg,16,309,189,12000,0
stock_s0,tile,20260705_132815_000024.jpg,17,258,152,12000,0
stock_s0,tile,20260705_132815_000024.jpg,18,225,130,12000,0
stock_s0,tile,20260705_132815_000024.jpg,19,236,149,12000,0
stock_s0,tile,20260705_132815_000024.jpg,20,368,250,12000,0
stock_s0,tile,20260705_132815_000024.jpg,21,290,184,12000,0
stock_s0,tile,20260705_132815_000024.jpg,22,278,202,12000,0
stock_s0,tile,20260705_132815_000024.jpg,23,312,212,12000,0
stock_s0,tile,20260705_132815_000024.jpg,24,157,95,12000,0
stock_s0,tile,20260705_132815_000024.jpg,25,105,60,12000,0
stock_s0,tile,20260705_132815_000024.jpg,26,130,70,12000,0
stock_s0,tile,20260705_132815_000024.jpg,27,99,60,12000,0
stock_s0,tile,20260705_132815_000024.jpg,28,288,170,12000,0
stock_s0,tile,20260705_132815_000024.jpg,29,256,145,12000,0
stock_s0,tile,20260705_132815_000024.jpg,30,177,100,12000,0
stock_s0,tile,20260705_132815_000024.jpg,31,147,81,12000,0
stock_s0,tile_addfull,20260705_132815_000024.jpg,-1,1553,577,12000,0
stock_s0,tile,20260705_132815_000048.jpg,0,617,290,12000,0
stock_s0,tile,20260705_132815_000048.jpg,1,653,224,12000,0
stock_s0,tile,20260705_132815_000048.jpg,2,588,206,12000,0
