imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
1280,0,8,12,0.0,0.0,5
1280,8,16,1417,0.02,0.0109,5
1280,16,24,4361,0.1372,0.0569,5
1280,24,32,4698,0.3907,0.0941,5
1280,32,48,7034,0.6903,0.0607,5
1280,48,64,4297,0.8545,0.0398,5
1280,64,96,4217,0.9093,0.0284,5
1280,96,128,1887,0.9366,0.0291,5
1280,128,192,1207,0.9322,0.0587,5
1280,192,inf,167,0.9018,0.0932,5
1920,0,8,12,0.0333,0.0456,5
1920,8,16,1417,0.1999,0.0593,5
1920,16,24,4361,0.385,0.0649,5
1920,24,32,4698,0.6488,0.0559,5
1920,32,48,7034,0.8583,0.0345,5
1920,48,64,4297,0.9324,0.0229,5
1920,64,96,4217,0.9488,0.0205,5
1920,96,128,1887,0.9483,0.0311,5
1920,128,192,1207,0.9511,0.0447,5
1920,192,inf,167,0.9569,0.0363,5
2560,0,8,12,0.0333,0.0456,5
2560,8,16,1417,0.0939,0.0371,5
2560,16,24,4361,0.2834,0.0431,5
2560,24,32,4698,0.5725,0.051,5
2560,32,48,7034,0.8203,0.034,5
2560,48,64,4297,0.9037,0.0275,5
2560,64,96,4217,0.9126,0.0335,5
2560,96,128,1887,0.9182,0.0278,5
2560,128,192,1207,0.9614,0.0241,5
2560,192,inf,167,0.9796,0.0109,5
3840,0,8,12,0.0167,0.0373,5
3840,8,16,1417,0.1121,0.0552,5
3840,16,24,4361,0.3236,0.0485,5
3840,24,32,4698,0.6089,0.0414,5
3840,32,48,7034,0.8052,0.0233,5
3840,48,64,4297,0.8591,0.03,5
3840,64,96,4217,0.8982,0.0215,5
3840,96,128,1887,0.9432,0.0304,5
3840,128,192,1207,0.9811,0.0203,5
3840,192,inf,167,0.9737,0.0234,5
