imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
1280,0,8,12,0.0,0.0,0.0,0.0,3
1280,8,16,1417,0.0193,0.0147,0.4583,0.4199,3
1280,16,24,4361,0.137,0.0805,0.8561,0.0376,3
1280,24,32,4698,0.4044,0.1294,0.7864,0.1065,3
1280,32,48,7034,0.7208,0.0622,0.5612,0.064,3
1280,48,64,4297,0.8793,0.0094,0.3806,0.0427,3
1280,64,96,4217,0.9206,0.0326,0.3314,0.0817,3
1280,96,128,1887,0.9339,0.0407,0.3167,0.1004,3
1280,128,192,1207,0.9122,0.0732,0.2975,0.1026,3
1280,192,inf,167,0.8663,0.1114,0.1464,0.0524,3
1920,0,8,12,0.0278,0.0481,0.0001,0.0002,3
1920,8,16,1417,0.1988,0.0835,0.2834,0.1493,3
1920,16,24,4361,0.4079,0.0774,0.5386,0.1487,3
1920,24,32,4698,0.6823,0.0436,0.5186,0.0624,3
1920,32,48,7034,0.8814,0.0095,0.4308,0.0573,3
1920,48,64,4297,0.9413,0.0255,0.3675,0.0846,3
1920,64,96,4217,0.9475,0.0288,0.3277,0.1064,3
1920,96,128,1887,0.9391,0.039,0.3018,0.098,3
1920,128,192,1207,0.9398,0.0557,0.3018,0.0861,3
1920,192,inf,167,0.9461,0.0419,0.2374,0.1323,3
2560,0,8,12,0.0278,0.0481,0.3333,0.5774,3
2560,8,16,1417,0.0892,0.0429,0.1558,0.0955,3
2560,16,24,4361,0.3003,0.0514,0.5761,0.1478,3
2560,24,32,4698,0.5966,0.0467,0.5522,0.1244,3
2560,32,48,7034,0.8335,0.0335,0.4846,0.0941,3
2560,48,64,4297,0.9083,0.0373,0.3948,0.1071,3
2560,64,96,4217,0.9118,0.0461,0.3066,0.1024,3
2560,96,128,1887,0.9131,0.0349,0.2552,0.0471,3
2560,128,192,1207,0.9605,0.0292,0.234,0.0776,3
2560,192,inf,167,0.978,0.0091,0.2358,0.1523,3
3840,0,8,12,0.0278,0.0481,0.0044,0.0076,3
3840,8,16,1417,0.099,0.0738,0.4469,0.0586,3
3840,16,24,4361,0.3336,0.0623,0.4923,0.2704,3
3840,24,32,4698,0.6247,0.0344,0.5234,0.1424,3
3840,32,48,7034,0.8103,0.0303,0.4642,0.0906,3
3840,48,64,4297,0.8674,0.0381,0.3286,0.0891,3
3840,64,96,4217,0.9066,0.0154,0.2675,0.0567,3
3840,96,128,1887,0.9405,0.0378,0.2003,0.0895,3
3840,128,192,1207,0.9779,0.0268,0.2454,0.1675,3
3840,192,inf,167,0.9681,0.0307,1.0,0.0,3
