imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
1280,0,4,1,0.0,0.0,3
1280,4,8,231,0.0087,0.0075,3
1280,8,12,2092,0.0429,0.0308,3
1280,12,16,3466,0.1538,0.0882,3
1280,16,20,3546,0.3673,0.1336,3
1280,20,24,3204,0.5921,0.1006,3
1280,24,32,4982,0.7569,0.0501,3
1280,32,48,5677,0.886,0.0148,3
1280,48,64,2837,0.9273,0.0325,3
1280,64,96,2403,0.9309,0.0447,3
1280,96,inf,858,0.8986,0.0893,3
1920,0,4,0,nan,0.0,3
1920,4,8,12,0.0278,0.0481,3
1920,8,12,220,0.1348,0.0699,3
1920,12,16,1197,0.2105,0.0863,3
1920,16,20,2004,0.3443,0.0908,3
1920,20,24,2357,0.462,0.0675,3
1920,24,32,4698,0.6823,0.0436,3
1920,32,48,7034,0.8814,0.0095,3
1920,48,64,4297,0.9413,0.0255,3
1920,64,96,4217,0.9475,0.0288,3
1920,96,inf,3261,0.9397,0.0443,3
2560,0,4,0,nan,0.0,3
2560,4,8,1,0.0,0.0,3
2560,8,12,32,0.0104,0.018,3
2560,12,16,199,0.0469,0.0353,3
2560,16,20,762,0.0932,0.0447,3
2560,20,24,1330,0.1637,0.0471,3
2560,24,32,3466,0.3283,0.0525,3
2560,32,48,6750,0.6521,0.0432,3
2560,48,64,4982,0.8557,0.0324,3
2560,64,96,5677,0.909,0.0383,3
2560,96,inf,6098,0.9237,0.0356,3
3840,0,4,0,nan,0.0,3
3840,4,8,0,nan,0.0,3
3840,8,12,1,0.0,0.0,3
3840,12,16,11,0.0303,0.0525,3
3840,16,20,58,0.0287,0.0359,3
3840,20,24,162,0.0576,0.0624,3
3840,24,32,1197,0.108,0.0772,3
3840,32,48,4361,0.3336,0.0623,3
3840,48,64,4698,0.6247,0.0344,3
3840,64,96,7034,0.8103,0.0303,3
3840,96,inf,11775,0.9059,0.0195,3
