imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
1280,near,11775,0.906,0.03,0.3292,0.071,3
1280,mid,11732,0.5941,0.0891,0.6071,0.0643,3
1280,far,5790,0.1079,0.0642,0.7765,0.1049,3
1280,all,29297,0.6234,0.038,0.4026,0.0736,3
1920,near,18809,0.92,0.0224,0.3555,0.0787,3
1920,mid,9059,0.5502,0.0593,0.5246,0.0926,3
1920,far,1429,0.1973,0.0829,0.1394,0.1123,3
1920,all,29297,0.7704,0.0131,0.3711,0.082,3
2560,near,23507,0.8278,0.0358,0.3661,0.0793,3
2560,mid,5558,0.2567,0.0498,0.5205,0.1307,3
2560,far,232,0.0417,0.0324,0.0326,0.0399,3
2560,all,29297,0.7132,0.0348,0.3714,0.0819,3
3840,near,27868,0.7448,0.0287,0.3184,0.0586,3
3840,mid,1417,0.099,0.0738,0.4469,0.0586,3
3840,far,12,0.0278,0.0481,0.0044,0.0076,3
3840,all,29297,0.7133,0.0307,0.3186,0.0581,3
