imgsz,min_n,n_bins_used,h50_px
1280,0,10,111.42
1280,10,7,111.42
1280,25,6,111.42
1280,50,6,111.42
1280,100,6,111.42
1280,200,6,111.42
1280,500,5,111.42
1280,1000,5,111.42
1920,0,10,87.2
1920,10,7,87.2
1920,25,6,87.2
1920,50,6,87.2
1920,100,6,87.2
1920,200,6,87.2
1920,500,5,87.2
1920,1000,5,87.2
2560,0,10,26.67
2560,10,7,28.0
2560,25,6,71.23
2560,50,6,71.23
2560,100,6,71.23
2560,200,6,71.23
2560,500,5,71.23
2560,1000,5,71.23
3840,0,10,25.24
3840,10,7,28.0
3840,25,6,66.07
3840,50,6,66.07
3840,100,6,66.07
3840,200,6,66.07
3840,500,5,66.07
3840,1000,5,66.07
