tag,tier,seed,full_ap,sahi_ap,delta
stock,near,stock_s0,0.749364,0.648957,-0.100407
stock,near,stock_s1,0.710466,0.578637,-0.131829
stock,near,stock_s2,0.827018,0.583565,-0.243453
stock,near,stock_s3,0.709324,0.632816,-0.076509
stock,near,stock_s4,0.803534,0.625165,-0.178369
stock,mid,stock_s0,0.527906,0.397907,-0.13
stock,mid,stock_s1,0.406916,0.383635,-0.023281
stock,mid,stock_s2,0.291709,0.248065,-0.043644
stock,mid,stock_s3,0.314421,0.266756,-0.047666
stock,mid,stock_s4,0.383705,0.324282,-0.059423
stock,far,stock_s0,0.030676,0.046029,0.015353
stock,far,stock_s1,0.015459,0.041171,0.025712
stock,far,stock_s2,0.001032,0.027542,0.026509
stock,far,stock_s3,0.009805,0.025248,0.015443
stock,far,stock_s4,0.022182,0.038405,0.016223
stock,all,stock_s0,0.606842,0.573284,-0.033558
stock,all,stock_s1,0.541119,0.544239,0.003121
stock,all,stock_s2,0.521283,0.480808,-0.040475
stock,all,stock_s3,0.507239,0.494274,-0.012965
stock,all,stock_s4,0.570006,0.527718,-0.042289
