tag,tier,seed,full_ap,sahi_ap,delta
stock,near,stock_s0,0.774169,0.699323,-0.074847
stock,near,stock_s1,0.737761,0.689133,-0.048628
stock,near,stock_s2,0.831224,0.73943,-0.091794
stock,near,stock_s3,0.716015,0.667797,-0.048218
stock,near,stock_s4,0.811678,0.699926,-0.111752
stock,mid,stock_s0,0.655716,0.66332,0.007603
stock,mid,stock_s1,0.554228,0.571544,0.017317
stock,mid,stock_s2,0.514624,0.454003,-0.060621
stock,mid,stock_s3,0.56183,0.561936,0.000106
stock,mid,stock_s4,0.558842,0.519988,-0.038855
stock,far,stock_s0,0.25149,0.240082,-0.011407
stock,far,stock_s1,0.18388,0.16914,-0.01474
stock,far,stock_s2,0.076773,0.077457,0.000684
stock,far,stock_s3,0.166059,0.138242,-0.027817
stock,far,stock_s4,0.219665,0.190806,-0.028859
stock,all,stock_s0,0.605319,0.571701,-0.033618
stock,all,stock_s1,0.542406,0.54331,0.000903
stock,all,stock_s2,0.521043,0.478777,-0.042266
stock,all,stock_s3,0.508364,0.489406,-0.018958
stock,all,stock_s4,0.570308,0.52656,-0.043748
