imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
1280,0,8,0,nan,0.0,5
1280,8,16,0,nan,0.0,5
1280,16,24,1,0.0,0.0,5
1280,24,32,11,0.0,0.0,5
1280,32,48,220,0.02,0.0175,5
1280,48,64,1197,0.0622,0.0373,5
1280,64,96,4361,0.2362,0.0843,5
1280,96,128,4698,0.5049,0.0923,5
1280,128,192,7034,0.7666,0.0491,5
1280,192,inf,11775,0.9115,0.0272,5
1920,0,8,0,nan,0.0,5
1920,8,16,0,nan,0.0,5
1920,16,24,1,0.0,0.0,5
1920,24,32,11,0.0909,0.0643,5
1920,32,48,220,0.2082,0.0879,5
1920,48,64,1197,0.2762,0.0868,5
1920,64,96,4361,0.4471,0.072,5
1920,96,128,4698,0.6821,0.0664,5
1920,128,192,7034,0.8578,0.0477,5
1920,192,inf,11775,0.9213,0.037,5
2560,0,8,0,nan,0.0,5
2560,8,16,0,nan,0.0,5
2560,16,24,1,0.0,0.0,5
2560,24,32,11,0.6,0.1037,5
2560,32,48,220,0.3655,0.0935,5
2560,48,64,1197,0.4067,0.0657,5
2560,64,96,4361,0.5537,0.082,5
2560,96,128,4698,0.7672,0.0707,5
2560,128,192,7034,0.8979,0.0388,5
2560,192,inf,11775,0.932,0.0335,5
3840,0,8,0,nan,0.0,5
3840,8,16,0,nan,0.0,5
3840,16,24,1,0.0,0.0,5
3840,24,32,11,0.7636,0.1037,5
3840,32,48,220,0.3964,0.0642,5
3840,48,64,1197,0.4192,0.0772,5
3840,64,96,4361,0.6117,0.0987,5
3840,96,128,4698,0.8035,0.0696,5
3840,128,192,7034,0.8967,0.0301,5
3840,192,inf,11775,0.933,0.0186,5
