imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
1280,0,8,0,nan,0.0,0.0,0.0,3
1280,8,16,0,nan,0.0,0.0,0.0,3
1280,16,24,1,0.0,0.0,0.0,0.0,3
1280,24,32,11,0.0,0.0,0.0,0.0,3
1280,32,48,220,0.0182,0.0164,0.1343,0.1472,3
1280,48,64,1197,0.0537,0.0398,0.6082,0.2992,3
1280,64,96,4361,0.2272,0.1148,0.7976,0.1201,3
1280,96,128,4698,0.5121,0.1296,0.6332,0.1608,3
1280,128,192,7034,0.7888,0.0534,0.4764,0.0529,3
1280,192,inf,11775,0.9158,0.0343,0.326,0.0639,3
1920,0,8,0,nan,0.0,,0.0,3
1920,8,16,0,nan,0.0,,0.0,3
1920,16,24,1,0.0,0.0,0.0,0.0,3
1920,24,32,11,0.0909,0.0909,0.0021,0.0021,3
1920,32,48,220,0.2182,0.1222,0.124,0.0922,3
1920,48,64,1197,0.2916,0.119,0.4252,0.1617,3
1920,64,96,4361,0.4796,0.0799,0.4849,0.1543,3
1920,96,128,4698,0.7263,0.0376,0.4693,0.0614,3
1920,128,192,7034,0.8854,0.026,0.3943,0.0473,3
1920,192,inf,11775,0.9181,0.0519,0.3301,0.0842,3
2560,0,8,0,nan,0.0,,0.0,3
2560,8,16,0,nan,0.0,,0.0,3
2560,16,24,1,0.0,0.0,0.0,0.0,3
2560,24,32,11,0.6061,0.1389,0.0381,0.0315,3
2560,32,48,220,0.3909,0.1139,0.1172,0.0508,3
2560,48,64,1197,0.4431,0.0573,0.3152,0.1262,3
2560,64,96,4361,0.6068,0.0439,0.375,0.1291,3
2560,96,128,4698,0.8072,0.0382,0.4061,0.0847,3
2560,128,192,7034,0.9128,0.0378,0.3929,0.086,3
2560,192,inf,11775,0.927,0.0462,0.314,0.0855,3
3840,0,8,0,nan,0.0,0.0,0.0,3
3840,8,16,0,nan,0.0,0.0,0.0,3
3840,16,24,1,0.0,0.0,0.0,0.0,3
3840,24,32,11,0.7576,0.1389,0.4086,0.355,3
3840,32,48,220,0.4333,0.055,0.2795,0.123,3
3840,48,64,1197,0.4637,0.0534,0.3545,0.2474,3
3840,64,96,4361,0.6581,0.0391,0.3731,0.1729,3
3840,96,128,4698,0.8307,0.0245,0.4401,0.0997,3
3840,128,192,7034,0.9033,0.0278,0.4004,0.0892,3
3840,192,inf,11775,0.9312,0.0242,0.2716,0.0523,3
