imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
1280,0,4,1,0.0,0.0,3
1280,4,8,231,0.0173,0.0156,3
1280,8,12,2092,0.0884,0.0627,3
1280,12,16,3466,0.2511,0.1203,3
1280,16,20,3546,0.475,0.1384,3
1280,20,24,3204,0.6828,0.0884,3
1280,24,32,4982,0.8193,0.0423,3
1280,32,48,5677,0.9081,0.0174,3
1280,48,64,2837,0.9337,0.0339,3
1280,64,96,2403,0.9243,0.052,3
1280,96,inf,858,0.8831,0.1146,3
1920,0,4,0,nan,0.0,3
1920,4,8,12,0.0833,0.0833,3
1920,8,12,220,0.2182,0.1222,3
1920,12,16,1197,0.2916,0.119,3
1920,16,20,2004,0.4193,0.0988,3
1920,20,24,2357,0.5309,0.0659,3
1920,24,32,4698,0.7263,0.0376,3
1920,32,48,7034,0.8854,0.026,3
1920,48,64,4297,0.9275,0.0405,3
1920,64,96,4217,0.921,0.0496,3
1920,96,inf,3261,0.9019,0.0769,3
2560,0,4,0,nan,0.0,3
2560,4,8,1,0.0,0.0,3
2560,8,12,32,0.4167,0.1721,3
2560,12,16,199,0.3987,0.1056,3
2560,16,20,762,0.43,0.0661,3
2560,20,24,1330,0.5048,0.0514,3
2560,24,32,3466,0.6283,0.0435,3
2560,32,48,6750,0.8326,0.0359,3
2560,48,64,4982,0.9218,0.0376,3
2560,64,96,5677,0.9324,0.0425,3
2560,96,inf,6098,0.9219,0.0509,3
3840,0,4,0,nan,0.0,3
3840,4,8,0,nan,0.0,3
3840,8,12,1,0.0,0.0,3
3840,12,16,11,0.7576,0.1389,3
3840,16,20,58,0.4483,0.1077,3
3840,20,24,162,0.428,0.0434,3
3840,24,32,1197,0.4637,0.0534,3
3840,32,48,4361,0.6581,0.0391,3
3840,48,64,4698,0.8307,0.0245,3
3840,64,96,7034,0.9033,0.0278,3
3840,96,inf,11775,0.9312,0.0242,3
