imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
1280,near,11775,0.9158,0.0343,0.326,0.0639,3
1280,mid,11732,0.678,0.0839,0.512,0.0713,3
1280,far,5790,0.183,0.0952,0.7435,0.0655,3
1280,all,29297,0.6757,0.0412,0.3884,0.0591,3
1920,near,18809,0.9059,0.0421,0.3491,0.0738,3
1920,mid,9059,0.6075,0.0563,0.4729,0.0978,3
1920,far,1429,0.2785,0.1185,0.1678,0.1398,3
1920,all,29297,0.783,0.0206,0.3598,0.0753,3
2560,near,23507,0.8988,0.0405,0.3476,0.0815,3
2560,mid,5558,0.5715,0.0422,0.3612,0.1279,3
2560,far,232,0.3994,0.1128,0.0972,0.0505,3
2560,all,29297,0.8327,0.0342,0.3434,0.0798,3
3840,near,27868,0.8645,0.0247,0.3259,0.0588,3
3840,mid,1417,0.459,0.0523,0.3384,0.2206,3
3840,far,12,0.6944,0.1273,0.1499,0.0529,3
3840,all,29297,0.8448,0.0245,0.3249,0.0614,3
