model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,1,0.0,0.0,5
stock,4,8,231,0.019,0.0149,5
stock,8,12,2092,0.0982,0.0451,5
stock,12,16,3466,0.2594,0.0787,5
stock,16,20,3546,0.4697,0.0879,5
stock,20,24,3204,0.6678,0.0589,5
stock,24,32,4982,0.7947,0.0413,5
stock,32,48,5677,0.8918,0.0278,5
stock,48,64,2837,0.9298,0.0235,5
stock,64,96,2403,0.9353,0.0356,5
stock,96,inf,858,0.9145,0.0821,5
nearfar,0,4,1,0.0,0.0,5
nearfar,4,8,231,0.019,0.0089,5
nearfar,8,12,2092,0.1144,0.0339,5
nearfar,12,16,3466,0.3214,0.0567,5
nearfar,16,20,3546,0.5781,0.0472,5
nearfar,20,24,3204,0.7638,0.0319,5
nearfar,24,32,4982,0.8735,0.017,5
nearfar,32,48,5677,0.9543,0.009,5
nearfar,48,64,2837,0.971,0.0103,5
nearfar,64,96,2403,0.9744,0.0093,5
nearfar,96,inf,858,0.972,0.0168,5
