corpus,frame,p0.75nyq_over_p0.25nyq
1080p,IMG_3916_f000000.jpg,0.050917
1080p,IMG_3916_f000318.jpg,0.024632
1080p,IMG_3916_f000636.jpg,0.025030
1080p,IMG_3920_f000066.jpg,0.019561
1080p,IMG_3920_f000270.jpg,0.026686
1080p,IMG_3920_f000474.jpg,0.027935
1080p,IMG_3936_f000240.jpg,0.008185
1080p,IMG_3936_f000606.jpg,0.007298
8K,20260705_132815_000024.jpg,0.003086
8K,20260705_132815_000864.jpg,0.002312
8K,20260705_132815_001500.jpg,0.002590
8K,20260705_132815_002148.jpg,0.002377
8K,20260705_132815_002808.jpg,0.002662
8K,20260705_133032_000204.jpg,0.002686
8K,20260705_133032_000924.jpg,0.002788
8K,20260705_133032_001584.jpg,0.002848
