dataset,area_pct,cdf
CornHorizon,0.001,0.0
CornHorizon,0.00105,0.0
CornHorizon,0.0011,0.0
CornHorizon,0.00115,0.0
CornHorizon,0.0012,0.0
CornHorizon,0.00126,0.0
CornHorizon,0.00132,0.0
CornHorizon,0.00138,0.0
CornHorizon,0.00145,0.0
CornHorizon,0.00152,0.0
CornHorizon,0.00159,0.0
CornHorizon,0.00166,0.0
CornHorizon,0.00174,0.0
CornHorizon,0.00183,0.0
CornHorizon,0.00191,0.0
CornHorizon,0.002,0.0
CornHorizon,0.0021,0.0
CornHorizon,0.0022,0.0
CornHorizon,0.0023,0.0
CornHorizon,0.00241,0.0
CornHorizon,0.00252,0.0
CornHorizon,0.00264,0.0
CornHorizon,0.00277,0.0
CornHorizon,0.0029,0.0
CornHorizon,0.00304,0.0
CornHorizon,0.00318,0.0
CornHorizon,0.00333,0.0
CornHorizon,0.00349,0.0
CornHorizon,0.00365,0.0
CornHorizon,0.00383,0.0
CornHorizon,0.00401,0.0
CornHorizon,0.0042,0.0
CornHorizon,0.0044,0.0
CornHorizon,0.00461,0.0
CornHorizon,0.00482,0.0
CornHorizon,0.00505,0.0
CornHorizon,0.00529,0.0
CornHorizon,0.00554,0.0
CornHorizon,0.00581,0.0
CornHorizon,0.00608,0.0
CornHorizon,0.00637,0.0
CornHorizon,0.00667,0.0
CornHorizon,0.00699,0.0
CornHorizon,0.00732,0.0
CornHorizon,0.00766,0.0
CornHorizon,0.00803,0.0
CornHorizon,0.00841,0.0
CornHorizon,0.0088,0.00025
CornHorizon,0.00922,0.00025
CornHorizon,0.00966,0.00025
CornHorizon,0.01012,0.00025
CornHorizon,0.0106,0.00025
CornHorizon,0.0111,0.00025
CornHorizon,0.01162,0.00025
CornHorizon,0.01217,0.00025
CornHorizon,0.01275,0.00025
CornHorizon,0.01335,0.00025
CornHorizon,0.01399,0.00074
CornHorizon,0.01465,0.00221
CornHorizon,0.01534,0.00295
CornHorizon,0.01607,0.0032
CornHorizon,0.01683,0.00516
CornHorizon,0.01763,0.00664
CornHorizon,0.01846,0.00836
CornHorizon,0.01934,0.01008
CornHorizon,0.02026,0.01303
CornHorizon,0.02121,0.01672
