stem,source_video,dist
image_0018,IMG_3916.MOV,0.7811
image_0026,3902_1.mp4,0.4271
image_0029,IMG_3921.MOV,0.4577
image_0030,IMG_3921.MOV,0.5128
image_0033,IMG_3935.MOV,0.7417
image_0036,IMG_3913.MOV,0.8462
image_0053,IMG_3928.MOV,0.6972
image_0054,IMG_3935.MOV,0.7432
image_0058,IMG_3934.MOV,0.811
image_0071,IMG_3936.MOV,0.758
image_0078,IMG_3922.MOV,0.7092
image_0080,IMG_3922.MOV,0.7265
image_0082,IMG_3928.MOV,0.7087
image_0083,IMG_3921.MOV,0.6266
image_0086,IMG_3921.MOV,0.4592
image_0088,IMG_3921.MOV,0.5142
image_0092,IMG_3925.MOV,0.5177
image_0108,IMG_3916.MOV,0.7163
image_0109,IMG_3934.MOV,0.671
image_0110,IMG_3916.MOV,0.6761
image_0113,IMG_3928.MOV,0.6119
image_0126,IMG_3934.MOV,0.8265
image_0132,IMG_3928.MOV,0.7257
image_0134,IMG_3928.MOV,0.7122
image_0140,IMG_3924.MOV,0.8003
image_0154,IMG_3928.MOV,0.5442
image_0157,IMG_3921.MOV,0.5478
image_0163,IMG_3921.MOV,0.7162
image_0165,IMG_3936.MOV,0.6131
image_0169,IMG_3921.MOV,0.4138
image_0177,IMG_3938.MOV,0.7597
image_0189,IMG_3916.MOV,0.7406
image_0190,IMG_3916.MOV,0.8049
image_0217,IMG_3917.MOV,0.8273
image_0228,IMG_3928.MOV,0.6857
image_0229,IMG_3928.MOV,0.6436
image_0239,IMG_3916.MOV,0.7805
image_0243,IMG_3934.MOV,0.6253
image_0246,IMG_3921.MOV,0.4806
image_0261,IMG_3934.MOV,0.7525
image_0351,IMG_3914.MOV,0.8453
image_0359,IMG_3934.MOV,0.782
image_0366,IMG_3921.MOV,0.5137
image_0372,IMG_3934.MOV,0.6261
image_0388,IMG_3921.MOV,0.4445
image_0395,IMG_3917.MOV,0.3672
image_0397,IMG_3916.MOV,0.4171
image_0398,IMG_3916.MOV,0.4296
image_0401,IMG_3916.MOV,0.3684
image_0405,IMG_3916.MOV,0.4254
image_0406,IMG_3936.MOV,0.4346
image_0437,IMG_3934.MOV,0.7852
image_0439,IMG_3928.MOV,0.8295
image_0455,IMG_3921.MOV,0.5351
image_0483,IMG_3936.MOV,0.8209
image_0484,IMG_3928.MOV,0.8026
image_0485,IMG_3928.MOV,0.7732
image_0486,IMG_3921.MOV,0.804
image_0489,IMG_3928.MOV,0.7936
image_0490,IMG_3928.MOV,0.7756
image_0494,IMG_3921.MOV,0.7932
image_0495,IMG_3920.MOV,0.7685
image_0499,IMG_3938.MOV,0.7351
image_0519,IMG_3934.MOV,0.6946
image_0522,IMG_3934.MOV,0.7568
image_0525,IMG_3913.MOV,0.6896
image_0532,IMG_3934.MOV,0.6145
image_0533,IMG_3934.MOV,0.6326
image_0535,IMG_3934.MOV,0.5668
image_0547,IMG_3928.MOV,0.6681
image_0548,IMG_3922.MOV,0.7393
image_0552,IMG_3928.MOV,0.7519
image_0559,IMG_3920.MOV,0.7504
image_0592,IMG_3934.MOV,0.7793
image_0593,IMG_3934.MOV,0.8176
image_0599,IMG_3934.MOV,0.8177
image_0603,IMG_3912.MOV,0.8139
image_0610,IMG_3934.MOV,0.7836
image_0618,IMG_3935.MOV,0.8045
image_0620,IMG_3934.MOV,0.8137
image_0625,IMG_3933.MOV,0.7874
image_0634,IMG_3934.MOV,0.7866
image_0640,IMG_3934.MOV,0.6266
image_0641,IMG_3916.MOV,0.629
image_0645,IMG_3916.MOV,0.6266
image_0660,IMG_3913.MOV,0.4269
image_0663,IMG_3913.MOV,0.4493
image_0664,IMG_3921.MOV,0.4445
image_0671,IMG_3921.MOV,0.3318
image_0675,IMG_3921.MOV,0.4404
image_0681,IMG_3921.MOV,0.3828
image_0682,IMG_3916.MOV,0.421
image_0683,IMG_3916.MOV,0.4355
image_0684,IMG_3913.MOV,0.4695
image_0691,IMG_3913.MOV,0.4239
image_0698,IMG_3916.MOV,0.5257
image_0700,IMG_3916.MOV,0.5581
image_0701,IMG_3916.MOV,0.6009
image_0707,IMG_3913.MOV,0.6436
image_0711,IMG_3934.MOV,0.665
image_0712,IMG_3913.MOV,0.6885
image_0713,IMG_3913.MOV,0.7083
image_0723,IMG_3934.MOV,0.5889
image_0726,IMG_3916.MOV,0.5609
image_0729,IMG_3934.MOV,0.5861
image_0730,IMG_3916.MOV,0.5598
image_0734,IMG_3934.MOV,0.5422
image_0740,IMG_3916.MOV,0.5067
image_0743,IMG_3916.MOV,0.467
image_0753,IMG_3921.MOV,0.5218
image_0772,IMG_3921.MOV,0.4286
image_0775,IMG_3913.MOV,0.4072
image_0783,IMG_3917.MOV,0.4076
image_0786,IMG_3921.MOV,0.3719
image_0787,IMG_3917.MOV,0.4365
image_0788,IMG_3921.MOV,0.465
image_0789,IMG_3921.MOV,0.4574
image_0801,IMG_3916.MOV,0.4176
image_0807,IMG_3921.MOV,0.4624
image_0813,IMG_3913.MOV,0.4635
image_0815,IMG_3916.MOV,0.4802
image_0818,IMG_3921.MOV,0.445
image_0822,IMG_3916.MOV,0.462
image_0824,IMG_3921.MOV,0.4887
image_0825,IMG_3921.MOV,0.4942
image_0826,IMG_3921.MOV,0.5275
image_0832,IMG_3934.MOV,0.6744
image_0833,IMG_3934.MOV,0.6554
image_0834,IMG_3934.MOV,0.6819
image_0837,IMG_3916.MOV,0.6266
image_0844,IMG_3916.MOV,0.7496
image_0859,IMG_3913.MOV,0.5883
image_0861,IMG_3913.MOV,0.6742
image_0867,IMG_3916.MOV,0.7068
image_0871,IMG_3934.MOV,0.6094
image_0875,IMG_3913.MOV,0.6914
image_0882,IMG_3934.MOV,0.6354
image_0885,IMG_3934.MOV,0.6267
image_0892,IMG_3934.MOV,0.5803
image_0895,IMG_3934.MOV,0.6292
image_0907,IMG_3934.MOV,0.5409
image_0925,IMG_3934.MOV,0.5577
image_0930,IMG_3934.MOV,0.6533
image_0931,IMG_3934.MOV,0.6205
image_0934,IMG_3934.MOV,0.6339
image_0935,IMG_3934.MOV,0.6897
image_0942,IMG_3934.MOV,0.6873
image_0944,IMG_3934.MOV,0.7368
image_0947,IMG_3934.MOV,0.683
image_0953,IMG_3934.MOV,0.675
image_0955,IMG_3934.MOV,0.7082
image_0958,IMG_3934.MOV,0.6296
image_0960,IMG_3934.MOV,0.6182
image_0962,IMG_3934.MOV,0.6656
image_0964,IMG_3934.MOV,0.6801
image_0967,IMG_3920.MOV,0.7961
image_0968,IMG_3934.MOV,0.7676
image_0973,IMG_3934.MOV,0.7692
image_0980,IMG_3934.MOV,0.6789
image_0991,3902_1.mp4,0.7288
