model,stratum,n_gt,ap_mean,ap_std,n_seeds
stock,near,2747,0.9281,0.0133,5
stock,mid,1238,0.4578,0.057,5
stock,far,82,0.0197,0.0064,5
stock,all,4067,0.8417,0.0193,5
nearfar,near,2747,0.9481,0.0068,5
nearfar,mid,1238,0.4683,0.0144,5
nearfar,far,82,0.016,0.0109,5
nearfar,all,4067,0.8485,0.0055,5
distill,near,2747,0.9074,0.0144,5
distill,mid,1238,0.2195,0.0543,5
distill,far,82,0.0067,0.0053,5
distill,all,4067,0.7458,0.0299,5
distill_shuffle,near,2747,0.908,0.0217,5
distill_shuffle,mid,1238,0.2484,0.0825,5
distill_shuffle,far,82,0.0056,0.004,5
distill_shuffle,all,4067,0.7631,0.0407,5
distill_synth,near,2747,0.9225,0.0152,5
distill_synth,mid,1238,0.2516,0.0647,5
distill_synth,far,82,0.0044,0.002,5
distill_synth,all,4067,0.7735,0.0319,5
nwd,near,2747,0.94,0.005,5
nwd,mid,1238,0.5156,0.0412,5
nwd,far,82,0.0208,0.0041,5
nwd,all,4067,0.8667,0.0126,5
