model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,0,,,3
stock,4,8,0,,,3
stock,8,12,4,0.0,0.0,3
stock,12,16,78,0.3547,0.0121,3
stock,16,20,164,0.4756,0.0434,3
stock,20,24,303,0.6183,0.0714,3
stock,24,32,771,0.8936,0.0267,3
stock,32,48,1268,0.9761,0.0074,3
stock,48,64,661,0.9899,0.0026,3
stock,64,96,540,0.9858,0.0044,3
stock,96,inf,278,0.976,0.0068,3
nearonly,0,4,0,,,3
nearonly,4,8,0,,,3
nearonly,8,12,4,0.0,0.0,3
nearonly,12,16,78,0.0,0.0,3
nearonly,16,20,164,0.0,0.0,3
nearonly,20,24,303,0.0,0.0,3
nearonly,24,32,771,0.0004,0.0006,3
nearonly,32,48,1268,0.0287,0.0133,3
nearonly,48,64,661,0.2683,0.0942,3
nearonly,64,96,540,0.8086,0.0661,3
nearonly,96,inf,278,0.9856,0.0029,3
nearfar,0,4,0,,,3
nearfar,4,8,0,,,3
nearfar,8,12,4,0.0,0.0,3
nearfar,12,16,78,0.3291,0.0121,3
nearfar,16,20,164,0.435,0.023,3
nearfar,20,24,303,0.6623,0.0109,3
nearfar,24,32,771,0.9153,0.0069,3
nearfar,32,48,1268,0.9879,0.0033,3
nearfar,48,64,661,0.9904,0.0019,3
nearfar,64,96,540,0.9907,0.0015,3
nearfar,96,inf,278,0.9892,0.0,3
distill,0,4,0,,,3
distill,4,8,0,,,3
distill,8,12,4,0.0,0.0,3
distill,12,16,78,0.1709,0.006,3
distill,16,20,164,0.1931,0.0415,3
distill,20,24,303,0.3465,0.0805,3
distill,24,32,771,0.6766,0.0976,3
distill,32,48,1268,0.9345,0.0281,3
distill,48,64,661,0.9909,0.0012,3
distill,64,96,540,0.9926,0.0015,3
distill,96,inf,278,0.9844,0.0034,3
distill_shuffle,0,4,0,,,3
distill_shuffle,4,8,0,,,3
distill_shuffle,8,12,4,0.0,0.0,3
distill_shuffle,12,16,78,0.2265,0.016,3
distill_shuffle,16,20,164,0.2886,0.0501,3
distill_shuffle,20,24,303,0.4862,0.0797,3
distill_shuffle,24,32,771,0.7799,0.072,3
distill_shuffle,32,48,1268,0.9511,0.0287,3
distill_shuffle,48,64,661,0.9899,0.0026,3
distill_shuffle,64,96,540,0.9895,0.0076,3
distill_shuffle,96,inf,278,0.9832,0.0045,3
distill_synth,0,4,0,,,3
distill_synth,4,8,0,,,3
distill_synth,8,12,4,0.0,0.0,3
distill_synth,12,16,78,0.2051,0.0105,3
distill_synth,16,20,164,0.2033,0.0377,3
distill_synth,20,24,303,0.4048,0.1062,3
distill_synth,24,32,771,0.7449,0.0993,3
distill_synth,32,48,1268,0.9527,0.0285,3
distill_synth,48,64,661,0.9899,0.0031,3
distill_synth,64,96,540,0.9957,0.0009,3
distill_synth,96,inf,278,0.9868,0.0034,3
nwd,0,4,0,,,3
nwd,4,8,0,,,3
nwd,8,12,4,0.0,0.0,3
nwd,12,16,78,0.3974,0.0377,3
nwd,16,20,164,0.565,0.0642,3
nwd,20,24,303,0.736,0.055,3
nwd,24,32,771,0.9486,0.012,3
nwd,32,48,1268,0.9871,0.0024,3
nwd,48,64,661,0.9899,0.0019,3
nwd,64,96,540,0.9877,0.0023,3
nwd,96,inf,278,0.9808,0.0068,3
