model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,2747,0.9881,0.0028,0.2311,0.0742,5
stock,mid,1238,0.8624,0.0471,0.3022,0.0261,5
stock,far,82,0.4366,0.0749,0.2182,0.1319,5
stock,all,4067,0.9387,0.0164,0.2445,0.0652,5
nearfar,near,2747,0.9886,0.0038,0.2723,0.0286,5
nearfar,mid,1238,0.7895,0.0123,0.4548,0.0425,5
nearfar,far,82,0.3122,0.0139,0.5364,0.2904,5
nearfar,all,4067,0.9144,0.0065,0.3042,0.0249,5
distill,near,2747,0.9666,0.0119,0.3447,0.0411,5
distill,mid,1238,0.527,0.0809,0.699,0.0923,5
distill,far,82,0.1707,0.0122,0.9742,0.0354,5
distill,all,4067,0.8167,0.0322,0.3832,0.04,5
distill_shuffle,near,2747,0.971,0.0199,0.2991,0.0998,5
distill_shuffle,mid,1238,0.6234,0.1192,0.5824,0.0603,5
distill_shuffle,far,82,0.2122,0.0222,0.9895,0.0235,5
distill_shuffle,all,4067,0.8499,0.0495,0.3341,0.0965,5
distill_synth,near,2747,0.9774,0.0135,0.2955,0.0535,5
distill_synth,mid,1238,0.6157,0.0872,0.7342,0.0742,5
distill_synth,far,82,0.1902,0.0109,1.0,0.0,5
distill_synth,all,4067,0.8514,0.0353,0.3405,0.053,5
nwd,near,2747,0.9929,0.0024,0.1811,0.037,5
nwd,mid,1238,0.9215,0.0432,0.3062,0.046,5
nwd,far,82,0.5073,0.0997,0.3853,0.1662,5
nwd,all,4067,0.9613,0.0161,0.2064,0.0388,5
