model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,2747,0.7996,0.0515,0.943,0.0077,5
stock,mid,1238,0.3003,0.0757,0.9401,0.0291,5
stock,far,82,0.122,0.0323,1.0,0.0,5
stock,all,4067,0.6339,0.0582,0.9424,0.0102,5
nearfar,near,2747,0.7354,0.0131,0.9776,0.003,5
nearfar,mid,1238,0.1827,0.0253,0.9775,0.0095,5
nearfar,far,82,0.0488,0.0448,1.0,0.0,5
nearfar,all,4067,0.5533,0.0102,0.9776,0.0031,5
distill,near,2747,0.5939,0.0275,0.9755,0.0039,5
distill,mid,1238,0.057,0.0111,0.9887,0.0126,5
distill,far,82,0.0146,0.02,1.0,0.0,5
distill,all,4067,0.4188,0.0216,0.9761,0.0036,5
distill_shuffle,near,2747,0.6323,0.0569,0.9683,0.0161,5
distill_shuffle,mid,1238,0.0775,0.0337,0.9903,0.0158,5
distill_shuffle,far,82,0.0244,0.0259,1.0,0.0,5
distill_shuffle,all,4067,0.4512,0.0472,0.9692,0.0152,5
distill_synth,near,2747,0.6516,0.0309,0.9742,0.0066,5
distill_synth,mid,1238,0.068,0.0218,1.0,0.0,5
distill_synth,far,82,0.0098,0.0134,1.0,0.0,5
distill_synth,all,4067,0.461,0.0273,0.9753,0.0063,5
nwd,near,2747,0.8503,0.0246,0.924,0.0173,5
nwd,mid,1238,0.3916,0.0546,0.9347,0.018,5
nwd,far,82,0.1488,0.0159,1.0,0.0,5
nwd,all,4067,0.6965,0.0313,0.9261,0.0147,5
