model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,0,,,5
stock,4,8,0,,,5
stock,8,12,4,0.0,0.0,5
stock,12,16,78,0.1282,0.0303,5
stock,16,20,164,0.1061,0.0227,5
stock,20,24,303,0.1881,0.0533,5
stock,24,32,771,0.3857,0.0834,5
stock,32,48,1268,0.7164,0.0695,5
stock,48,64,661,0.8762,0.0306,5
stock,64,96,540,0.8637,0.0255,5
stock,96,inf,278,0.8719,0.0493,5
nearfar,0,4,0,,,5
nearfar,4,8,0,,,5
nearfar,8,12,4,0.0,0.0,5
nearfar,12,16,78,0.0513,0.0421,5
nearfar,16,20,164,0.0598,0.0236,5
nearfar,20,24,303,0.0931,0.0155,5
nearfar,24,32,771,0.2441,0.0317,5
nearfar,32,48,1268,0.6394,0.0248,5
nearfar,48,64,661,0.8257,0.0146,5
nearfar,64,96,540,0.8144,0.0371,5
nearfar,96,inf,278,0.805,0.007,5
distill,0,4,0,,,5
distill,4,8,0,,,5
distill,8,12,4,0.0,0.0,5
distill,12,16,78,0.0154,0.0188,5
distill,16,20,164,0.0171,0.006,5
distill,20,24,303,0.0271,0.0076,5
distill,24,32,771,0.0773,0.0125,5
distill,32,48,1268,0.3667,0.0264,5
distill,48,64,661,0.7295,0.0408,5
distill,64,96,540,0.8267,0.0259,5
distill,96,inf,278,0.8554,0.0089,5
distill_shuffle,0,4,0,,,5
distill_shuffle,4,8,0,,,5
distill_shuffle,8,12,4,0.0,0.0,5
distill_shuffle,12,16,78,0.0256,0.0243,5
distill_shuffle,16,20,164,0.0232,0.0151,5
distill_shuffle,20,24,303,0.0416,0.0184,5
distill_shuffle,24,32,771,0.1032,0.0391,5
distill_shuffle,32,48,1268,0.4256,0.0704,5
distill_shuffle,48,64,661,0.7722,0.065,5
distill_shuffle,64,96,540,0.8348,0.031,5
distill_shuffle,96,inf,278,0.8496,0.0298,5
distill_synth,0,4,0,,,5
distill_synth,4,8,0,,,5
distill_synth,8,12,4,0.0,0.0,5
distill_synth,12,16,78,0.0103,0.0126,5
distill_synth,16,20,164,0.0146,0.0113,5
distill_synth,20,24,303,0.0271,0.007,5
distill_synth,24,32,771,0.0955,0.028,5
distill_synth,32,48,1268,0.4426,0.0563,5
distill_synth,48,64,661,0.8027,0.0183,5
distill_synth,64,96,540,0.847,0.0124,5
distill_synth,96,inf,278,0.8662,0.0089,5
nwd,0,4,0,,,5
nwd,4,8,0,,,5
nwd,8,12,4,0.0,0.0,5
nwd,12,16,78,0.1564,0.015,5
nwd,16,20,164,0.122,0.0193,5
nwd,20,24,303,0.233,0.0379,5
nwd,24,32,771,0.5113,0.0606,5
nwd,32,48,1268,0.7886,0.0354,5
nwd,48,64,661,0.9056,0.0153,5
nwd,64,96,540,0.9022,0.0241,5
nwd,96,inf,278,0.8993,0.0196,5
