model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,2747,0.7356,0.0484,0.8485,0.0174,3
stock,mid,1238,0.2658,0.0714,0.8349,0.0428,3
stock,far,82,0.065,0.007,1.0,0.0,3
stock,all,4067,0.5791,0.0543,0.8465,0.0211,3
nearonly,near,2747,0.115,0.031,0.9202,0.0208,3
nearonly,mid,1238,0.0,0.0,nan,0.0,3
nearonly,far,82,0.0,0.0,nan,0.0,3
nearonly,all,4067,0.0777,0.0209,0.9202,0.0208,3
nearfar,near,2747,0.6678,0.0172,0.8793,0.0013,3
nearfar,mid,1238,0.1475,0.0075,0.8898,0.0145,3
nearfar,far,82,0.0366,0.0244,1.0,0.0,3
nearfar,all,4067,0.4967,0.0125,0.8804,0.0023,3
distill,near,2747,0.5312,0.0309,0.8737,0.0165,3
distill,mid,1238,0.0363,0.0133,0.9468,0.019,3
distill,far,82,0.0,0.0,nan,0.0,3
distill,all,4067,0.3699,0.0241,0.8758,0.0151,3
distill_shuffle,near,2747,0.5829,0.0685,0.871,0.0107,3
distill_shuffle,mid,1238,0.0673,0.0232,0.9288,0.0507,3
distill_shuffle,far,82,0.0,0.0,nan,0.0,3
distill_shuffle,all,4067,0.4142,0.052,0.8735,0.0121,3
distill_synth,near,2747,0.5799,0.0474,0.8626,0.0099,3
distill_synth,mid,1238,0.0442,0.0208,0.9857,0.0126,3
distill_synth,far,82,0.0041,0.007,1.0,0.0,3
distill_synth,all,4067,0.4052,0.0381,0.866,0.0107,3
nwd,near,2747,0.7878,0.0202,0.8316,0.0196,3
nwd,mid,1238,0.3218,0.0467,0.864,0.0301,3
nwd,far,82,0.0325,0.0141,1.0,0.0,3
nwd,all,4067,0.6307,0.0278,0.8365,0.0178,3
