imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,3
640,8,16,2,0.0,0.0,3
640,16,24,80,0.0,0.0,3
640,24,32,246,0.0149,0.0102,3
640,32,48,992,0.1048,0.0295,3
640,48,64,939,0.4395,0.0365,3
640,64,96,990,0.7377,0.0226,3
640,96,128,410,0.8016,0.0256,3
640,128,192,346,0.7948,0.0161,3
640,192,inf,62,0.9032,0.0323,3
960,0,8,0,nan,0.0,3
960,8,16,2,0.0,0.0,3
960,16,24,80,0.0292,0.026,3
960,24,32,246,0.0501,0.0192,3
960,32,48,992,0.1798,0.0108,3
960,48,64,939,0.5687,0.0269,3
960,64,96,990,0.8,0.0149,3
960,96,128,410,0.8423,0.0196,3
960,128,192,346,0.8516,0.0275,3
960,192,inf,62,0.9247,0.0093,3
1280,0,8,0,nan,0.0,3
1280,8,16,2,0.0,0.0,3
1280,16,24,80,0.0667,0.0564,3
1280,24,32,246,0.0556,0.0238,3
1280,32,48,992,0.2036,0.0192,3
1280,48,64,939,0.5896,0.0427,3
1280,64,96,990,0.8027,0.0042,3
1280,96,128,410,0.835,0.0166,3
1280,128,192,346,0.8025,0.012,3
1280,192,inf,62,0.9194,0.0279,3
1920,0,8,0,nan,0.0,3
1920,8,16,2,0.0,0.0,3
1920,16,24,80,0.0542,0.026,3
1920,24,32,246,0.0556,0.0143,3
1920,32,48,992,0.2231,0.044,3
1920,48,64,939,0.5864,0.05,3
1920,64,96,990,0.7781,0.0051,3
1920,96,128,410,0.8024,0.0148,3
1920,128,192,346,0.8333,0.0285,3
1920,192,inf,62,0.9247,0.0186,3
