imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,3
640,4,8,82,0.0,0.0,3
640,8,12,467,0.0286,0.0106,3
640,12,16,771,0.1224,0.0347,3
640,16,20,748,0.3917,0.0373,3
640,20,24,520,0.6462,0.032,3
640,24,32,661,0.7776,0.0205,3
640,32,48,540,0.8062,0.0208,3
640,48,64,216,0.7793,0.0325,3
640,64,96,61,0.918,0.0328,3
640,96,inf,1,0.0,0.0,3
960,0,4,0,nan,0.0,3
960,4,8,2,0.0,0.0,3
960,8,12,80,0.0292,0.026,3
960,12,16,246,0.0501,0.0192,3
960,16,20,456,0.1199,0.0113,3
960,20,24,536,0.2307,0.0118,3
960,24,32,939,0.5687,0.0269,3
960,32,48,990,0.8,0.0149,3
960,48,64,410,0.8423,0.0196,3
960,64,96,346,0.8516,0.0275,3
960,96,inf,62,0.9247,0.0093,3
1280,0,4,0,nan,0.0,3
1280,4,8,0,nan,0.0,3
1280,8,12,4,0.0,0.0,3
1280,12,16,78,0.0684,0.0578,3
1280,16,20,164,0.063,0.0347,3
1280,20,24,303,0.0858,0.0087,3
1280,24,32,771,0.2326,0.0235,3
1280,32,48,1268,0.633,0.0336,3
1280,48,64,661,0.8255,0.0038,3
1280,64,96,540,0.837,0.0148,3
1280,96,inf,278,0.8094,0.0062,3
1920,0,4,0,nan,0.0,3
1920,4,8,0,nan,0.0,3
1920,8,12,0,nan,0.0,3
1920,12,16,2,0.0,0.0,3
1920,16,20,14,0.0476,0.0825,3
1920,20,24,66,0.0556,0.0231,3
1920,24,32,246,0.0556,0.0143,3
1920,32,48,992,0.2231,0.044,3
1920,48,64,939,0.5864,0.05,3
1920,64,96,990,0.7781,0.0051,3
1920,96,inf,818,0.8248,0.0187,3
