imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,near,818,0.8064,0.0174,0.9812,0.0033,3
640,mid,1929,0.5925,0.0294,0.9816,0.0067,3
640,far,1320,0.0816,0.024,0.9954,0.008,3
640,all,4067,0.4697,0.0252,0.9822,0.0054,3
960,near,1808,0.8237,0.0157,0.9773,0.0034,3
960,mid,1931,0.3689,0.0182,0.9861,0.0029,3
960,far,328,0.0447,0.0208,1.0,0.0,3
960,all,4067,0.545,0.0124,0.9803,0.0014,3
1280,near,2747,0.7373,0.0173,0.9786,0.0032,3
1280,mid,1238,0.1742,0.0108,0.9831,0.0035,3
1280,far,82,0.065,0.055,1.0,0.0,3
1280,all,4067,0.5523,0.0132,0.9791,0.0031,3
1920,near,3739,0.5929,0.0208,0.9761,0.002,3
1920,mid,326,0.0552,0.0171,1.0,0.0,3
1920,far,2,0.0,0.0,nan,0.0,3
1920,all,4067,0.5495,0.018,0.9763,0.002,3
