model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,0,,,5
stock,4,8,0,,,5
stock,8,12,4,0.0,0.0,5
stock,12,16,78,0.459,0.0704,5
stock,16,20,164,0.6244,0.0959,5
stock,20,24,303,0.7868,0.0913,5
stock,24,32,771,0.9427,0.0159,5
stock,32,48,1268,0.986,0.0044,5
stock,48,64,661,0.9918,0.0026,5
stock,64,96,540,0.9904,0.0036,5
stock,96,inf,278,0.9842,0.0054,5
nearfar,0,4,0,,,5
nearfar,4,8,0,,,5
nearfar,8,12,4,0.0,0.0,5
nearfar,12,16,78,0.3282,0.0131,5
nearfar,16,20,164,0.4256,0.0295,5
nearfar,20,24,303,0.6673,0.0171,5
nearfar,24,32,771,0.9149,0.0105,5
nearfar,32,48,1268,0.9875,0.0047,5
nearfar,48,64,661,0.9906,0.0024,5
nearfar,64,96,540,0.9885,0.0055,5
nearfar,96,inf,278,0.9892,0.0,5
