imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,5
640,8,16,2,0.0,0.0,5
640,16,24,80,0.24,0.0646,5
640,24,32,246,0.3333,0.0734,5
640,32,48,992,0.7252,0.0866,5
640,48,64,939,0.9029,0.0326,5
640,64,96,990,0.924,0.0267,5
640,96,128,410,0.9151,0.0254,5
640,128,192,346,0.926,0.0236,5
640,192,inf,62,0.9677,0.0114,5
960,0,8,0,nan,0.0,5
960,8,16,2,0.0,0.0,5
960,16,24,80,0.3225,0.0555,5
960,24,32,246,0.4569,0.135,5
960,32,48,992,0.823,0.0674,5
960,48,64,939,0.9485,0.0207,5
960,64,96,990,0.9525,0.0143,5
960,96,128,410,0.9698,0.0028,5
960,128,192,346,0.9671,0.0044,5
960,192,inf,62,0.971,0.0177,5
1280,0,8,0,nan,0.0,5
1280,8,16,2,0.0,0.0,5
1280,16,24,80,0.3125,0.0508,5
1280,24,32,246,0.4244,0.1192,5
1280,32,48,992,0.8103,0.0645,5
1280,48,64,939,0.957,0.0163,5
1280,64,96,990,0.9632,0.0084,5
1280,96,128,410,0.9771,0.0078,5
1280,128,192,346,0.9595,0.0142,5
1280,192,inf,62,0.9613,0.0184,5
1920,0,8,0,nan,0.0,5
1920,8,16,2,0.0,0.0,5
1920,16,24,80,0.24,0.1009,5
1920,24,32,246,0.3675,0.1108,5
1920,32,48,992,0.7246,0.084,5
1920,48,64,939,0.849,0.0376,5
1920,64,96,990,0.842,0.0488,5
1920,96,128,410,0.8429,0.0552,5
1920,128,192,346,0.8821,0.0615,5
1920,192,inf,62,0.9097,0.0827,5
