imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,0,8,0,nan,0.0,,0.0,5
640,8,16,2,0.0,0.0,0.0,0.0,5
640,16,24,80,0.24,0.0646,0.6933,0.108,5
640,24,32,246,0.3333,0.0734,0.5788,0.1576,5
640,32,48,992,0.7252,0.0866,0.6268,0.0912,5
640,48,64,939,0.9029,0.0326,0.6329,0.0676,5
640,64,96,990,0.924,0.0267,0.7058,0.0603,5
640,96,128,410,0.9151,0.0254,0.8431,0.0649,5
640,128,192,346,0.926,0.0236,0.9369,0.0359,5
640,192,inf,62,0.9677,0.0114,0.8932,0.1676,5
960,0,8,0,nan,0.0,,0.0,5
960,8,16,2,0.0,0.0,0.0,0.0,5
960,16,24,80,0.3225,0.0555,0.6818,0.1054,5
960,24,32,246,0.4569,0.135,0.7641,0.0779,5
960,32,48,992,0.823,0.0674,0.7663,0.0593,5
960,48,64,939,0.9485,0.0207,0.7844,0.0464,5
960,64,96,990,0.9525,0.0143,0.8028,0.0344,5
960,96,128,410,0.9698,0.0028,0.8388,0.0389,5
960,128,192,346,0.9671,0.0044,0.9042,0.0207,5
960,192,inf,62,0.971,0.0177,0.8732,0.0567,5
1280,0,8,0,nan,0.0,,0.0,5
1280,8,16,2,0.0,0.0,0.0,0.0,5
1280,16,24,80,0.3125,0.0508,0.7697,0.0221,5
1280,24,32,246,0.4244,0.1192,0.84,0.0753,5
1280,32,48,992,0.8103,0.0645,0.8221,0.0607,5
1280,48,64,939,0.957,0.0163,0.8542,0.0507,5
1280,64,96,990,0.9632,0.0084,0.8386,0.023,5
1280,96,128,410,0.9771,0.0078,0.8402,0.0282,5
1280,128,192,346,0.9595,0.0142,0.8972,0.0303,5
1280,192,inf,62,0.9613,0.0184,0.8812,0.0449,5
1920,0,8,0,nan,0.0,,0.0,5
1920,8,16,2,0.0,0.0,,0.0,5
1920,16,24,80,0.24,0.1009,0.956,0.0612,5
1920,24,32,246,0.3675,0.1108,0.9404,0.031,5
1920,32,48,992,0.7246,0.084,0.9074,0.0457,5
1920,48,64,939,0.849,0.0376,0.9211,0.0246,5
1920,64,96,990,0.842,0.0488,0.9027,0.0247,5
1920,96,128,410,0.8429,0.0552,0.8977,0.0395,5
1920,128,192,346,0.8821,0.0615,0.9074,0.0257,5
1920,192,inf,62,0.9097,0.0827,0.8803,0.0608,5
