imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,3
640,4,8,82,0.2236,0.0865,3
640,8,12,467,0.4347,0.115,3
640,12,16,771,0.7674,0.1042,3
640,16,20,748,0.898,0.0375,3
640,20,24,520,0.9071,0.0251,3
640,24,32,661,0.9158,0.0255,3
640,32,48,540,0.8994,0.012,3
640,48,64,216,0.9275,0.0209,3
640,64,96,61,0.9781,0.0095,3
640,96,inf,1,0.0,0.0,3
960,0,4,0,nan,0.0,3
960,4,8,2,0.0,0.0,3
960,8,12,80,0.35,0.0573,3
960,12,16,246,0.4783,0.1823,3
960,16,20,456,0.7551,0.1245,3
960,20,24,536,0.8937,0.0556,3
960,24,32,939,0.9443,0.0258,3
960,32,48,990,0.9478,0.0111,3
960,48,64,410,0.9691,0.0037,3
960,64,96,346,0.9644,0.0033,3
960,96,inf,62,0.9731,0.0186,3
1280,0,4,0,nan,0.0,3
1280,4,8,0,nan,0.0,3
1280,8,12,4,0.0,0.0,3
1280,12,16,78,0.3419,0.0606,3
1280,16,20,164,0.4167,0.1353,3
1280,20,24,303,0.6051,0.1595,3
1280,24,32,771,0.8604,0.063,3
1280,32,48,1268,0.9527,0.0193,3
1280,48,64,661,0.9652,0.0066,3
1280,64,96,540,0.9704,0.0037,3
1280,96,inf,278,0.9568,0.0157,3
1920,0,4,0,nan,0.0,3
1920,4,8,0,nan,0.0,3
1920,8,12,0,nan,0.0,3
1920,12,16,2,0.0,0.0,3
1920,16,20,14,0.2619,0.1091,3
1920,20,24,66,0.2424,0.1492,3
1920,24,32,246,0.3388,0.119,3
1920,32,48,992,0.6865,0.0888,3
1920,48,64,939,0.8271,0.0291,3
1920,64,96,990,0.8111,0.0324,3
1920,96,inf,818,0.8443,0.0597,3
