imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,near,818,0.9237,0.0201,0.8813,0.051,5
640,mid,1929,0.9137,0.0293,0.6683,0.0613,5
640,far,1320,0.6217,0.0821,0.6214,0.0967,5
640,all,4067,0.8209,0.0386,0.6913,0.0639,5
960,near,1808,0.9598,0.008,0.831,0.0308,5
960,mid,1931,0.884,0.0429,0.7754,0.0521,5
960,far,328,0.4213,0.113,0.7413,0.0561,5
960,all,4067,0.8804,0.0313,0.7993,0.0408,5
1280,near,2747,0.9627,0.0079,0.8515,0.0293,5
1280,mid,1238,0.7336,0.0742,0.8242,0.0589,5
1280,far,82,0.3049,0.0495,0.7553,0.0394,5
1280,all,4067,0.8797,0.026,0.8427,0.0343,5
1920,near,3739,0.8175,0.0494,0.9066,0.0162,5
1920,mid,326,0.3362,0.1035,0.9448,0.0216,5
1920,far,2,0.0,0.0,nan,0.0,5
1920,all,4067,0.7786,0.0493,0.9079,0.0154,5
