corpus,mode,frame,ratio
1080p,angular,IMG_3916_f000000.jpg,0.050917
1080p,angular,IMG_3916_f000318.jpg,0.024632
1080p,angular,IMG_3916_f000636.jpg,0.025030
1080p,angular,IMG_3920_f000066.jpg,0.019561
1080p,angular,IMG_3920_f000270.jpg,0.026686
1080p,angular,IMG_3920_f000474.jpg,0.027935
1080p,angular,IMG_3936_f000240.jpg,0.008185
1080p,angular,IMG_3936_f000606.jpg,0.007298
8K,angular,20260705_132815_000024.jpg,0.100030
8K,angular,20260705_132815_000864.jpg,0.132484
8K,angular,20260705_132815_001500.jpg,0.110210
8K,angular,20260705_132815_002148.jpg,0.125492
8K,angular,20260705_132815_002808.jpg,0.126092
8K,angular,20260705_133032_000204.jpg,0.120190
8K,angular,20260705_133032_000924.jpg,0.133408
8K,angular,20260705_133032_001584.jpg,0.125104
