che_do,conf,tag_a,imgsz_a,tag_b,imgsz_b,n_seeds,n_plant,h50_a,h50_b,delta,delta_lo,delta_hi,p_boot,ket_luan
duoi muc goc,0.25,stock,1920,stock,960,5,988,44.08,49.75,-5.66,-6.97,-4.61,0.0005,KHAC
duoi muc goc,0.001,stock,1920,stock,960,5,988,20.87,23.7,-2.83,-4.3,-1.11,0.0005,KHAC
duoi muc goc,0.25,nearfar,1920,nearfar,960,5,988,51.26,52.95,-1.69,-2.48,-0.96,0.0005,KHAC
duoi muc goc,0.001,nearfar,1920,nearfar,960,5,988,25.34,30.33,-4.99,-10.72,-2.43,0.0005,KHAC
tren muc goc,0.25,stock,2560,stock,1920,5,988,49.74,44.08,5.66,4.61,7.09,0.0005,KHAC
tren muc goc,0.001,stock,2560,stock,1920,5,988,21.68,20.87,0.81,-0.04,1.56,0.123,khong phan biet duoc
tren muc goc,0.25,stock,3840,stock,1920,5,988,68.29,44.08,24.21,21.53,26.99,0.0005,KHAC
tren muc goc,0.001,stock,3840,stock,1920,5,988,23.86,20.87,2.99,-0.44,5.94,0.162,khong phan biet duoc
tren muc goc,0.25,nwd,2560,nwd,1920,5,988,42.57,39.18,3.4,2.17,4.25,0.0005,KHAC
tren muc goc,0.001,nwd,2560,nwd,1920,5,988,19.24,19.17,0.06,-0.22,0.42,0.867,khong phan biet duoc
tren muc goc,0.25,nearfar,2560,nearfar,1920,5,988,51.86,51.26,0.6,0.15,1.04,0.012,KHAC
tren muc goc,0.001,nearfar,2560,nearfar,1920,5,988,28.13,25.34,2.79,0.4,8.23,0.012,KHAC
doi ham mat mat,0.25,nwd,1280,stock,1280,5,988,42.13,47.11,-4.98,-6.18,-4.01,0.0005,KHAC
doi ham mat mat,0.001,nwd,1280,stock,1280,5,988,19.69,22.05,-2.36,-3.54,-0.2,0.04,KHAC
