imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,5
640,8,16,2,0.0,0.0,5
640,16,24,80,0.0225,0.0271,5
640,24,32,246,0.0504,0.0156,5
640,32,48,992,0.2226,0.0529,5
640,48,64,939,0.5723,0.053,5
640,64,96,990,0.8345,0.0171,5
640,96,128,410,0.8795,0.0209,5
640,128,192,346,0.904,0.0285,5
640,192,inf,62,0.9645,0.0135,5
960,0,8,0,nan,0.0,5
960,8,16,2,0.0,0.0,5
960,16,24,80,0.0925,0.0326,5
960,24,32,246,0.0911,0.0154,5
960,32,48,992,0.3708,0.0346,5
960,48,64,939,0.7225,0.0314,5
960,64,96,990,0.8806,0.0151,5
960,96,128,410,0.9132,0.0174,5
960,128,192,346,0.9202,0.0218,5
960,192,inf,62,0.9581,0.0216,5
1280,0,8,0,nan,0.0,5
1280,8,16,2,0.0,0.0,5
1280,16,24,80,0.1525,0.0163,5
1280,24,32,246,0.1211,0.0229,5
1280,32,48,992,0.4587,0.0625,5
1280,48,64,939,0.7687,0.0481,5
1280,64,96,990,0.8857,0.0171,5
1280,96,128,410,0.8995,0.0253,5
1280,128,192,346,0.8983,0.0231,5
1280,192,inf,62,0.929,0.0371,5
1920,0,8,0,nan,0.0,5
1920,8,16,2,0.0,0.0,5
1920,16,24,80,0.16,0.0311,5
1920,24,32,246,0.1585,0.0431,5
1920,32,48,992,0.5252,0.0916,5
1920,48,64,939,0.8064,0.0513,5
1920,64,96,990,0.8782,0.0244,5
1920,96,128,410,0.8644,0.0171,5
1920,128,192,346,0.8595,0.0395,5
1920,192,inf,62,0.8645,0.0371,5
