imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,0,8,0,nan,0.0,,0.0,5
640,8,16,2,0.0,0.0,,0.0,5
640,16,24,80,0.0225,0.0271,1.0,0.0,5
640,24,32,246,0.0504,0.0156,0.9875,0.028,5
640,32,48,992,0.2226,0.0529,0.9626,0.0475,5
640,48,64,939,0.5723,0.053,0.9024,0.0469,5
640,64,96,990,0.8345,0.0171,0.8613,0.0265,5
640,96,128,410,0.8795,0.0209,0.8963,0.022,5
640,128,192,346,0.904,0.0285,0.9513,0.0087,5
640,192,inf,62,0.9645,0.0135,0.9175,0.0221,5
960,0,8,0,nan,0.0,,0.0,5
960,8,16,2,0.0,0.0,,0.0,5
960,16,24,80,0.0925,0.0326,1.0,0.0,5
960,24,32,246,0.0911,0.0154,1.0,0.0,5
960,32,48,992,0.3708,0.0346,0.9256,0.0345,5
960,48,64,939,0.7225,0.0314,0.9273,0.021,5
960,64,96,990,0.8806,0.0151,0.9027,0.0167,5
960,96,128,410,0.9132,0.0174,0.903,0.0091,5
960,128,192,346,0.9202,0.0218,0.9312,0.011,5
960,192,inf,62,0.9581,0.0216,0.9088,0.0253,5
1280,0,8,0,nan,0.0,,0.0,5
1280,8,16,2,0.0,0.0,,0.0,5
1280,16,24,80,0.1525,0.0163,1.0,0.0,5
1280,24,32,246,0.1211,0.0229,0.9659,0.0335,5
1280,32,48,992,0.4587,0.0625,0.9328,0.0176,5
1280,48,64,939,0.7687,0.0481,0.9386,0.0102,5
1280,64,96,990,0.8857,0.0171,0.9212,0.0231,5
1280,96,128,410,0.8995,0.0253,0.9194,0.0265,5
1280,128,192,346,0.8983,0.0231,0.9137,0.025,5
1280,192,inf,62,0.929,0.0371,0.8754,0.0033,5
1920,0,8,0,nan,0.0,,0.0,5
1920,8,16,2,0.0,0.0,,0.0,5
1920,16,24,80,0.16,0.0311,1.0,0.0,5
1920,24,32,246,0.1585,0.0431,0.935,0.0493,5
1920,32,48,992,0.5252,0.0916,0.9167,0.0181,5
1920,48,64,939,0.8064,0.0513,0.935,0.0257,5
1920,64,96,990,0.8782,0.0244,0.8954,0.0402,5
1920,96,128,410,0.8644,0.0171,0.8866,0.0517,5
1920,128,192,346,0.8595,0.0395,0.8788,0.0518,5
1920,192,inf,62,0.8645,0.0371,0.9001,0.0789,5
