imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,5
640,4,8,82,0.022,0.0264,5
640,8,12,467,0.0788,0.0246,5
640,12,16,771,0.2547,0.0572,5
640,16,20,748,0.5326,0.0599,5
640,20,24,520,0.7427,0.0351,5
640,24,32,661,0.8759,0.0124,5
640,32,48,540,0.8837,0.0221,5
640,48,64,216,0.9083,0.0318,5
640,64,96,61,0.9803,0.0137,5
640,96,inf,1,0.0,0.0,5
960,0,4,0,nan,0.0,5
960,4,8,2,0.0,0.0,5
960,8,12,80,0.0925,0.0326,5
960,12,16,246,0.0911,0.0154,5
960,16,20,456,0.286,0.0308,5
960,20,24,536,0.4429,0.0392,5
960,24,32,939,0.7225,0.0314,5
960,32,48,990,0.8806,0.0151,5
960,48,64,410,0.9132,0.0174,5
960,64,96,346,0.9202,0.0218,5
960,96,inf,62,0.9581,0.0216,5
1280,0,4,0,nan,0.0,5
1280,4,8,0,nan,0.0,5
1280,8,12,4,0.0,0.0,5
1280,12,16,78,0.1564,0.0167,5
1280,16,20,164,0.122,0.0216,5
1280,20,24,303,0.233,0.0424,5
1280,24,32,771,0.5113,0.0677,5
1280,32,48,1268,0.7886,0.0395,5
1280,48,64,661,0.9056,0.0171,5
1280,64,96,540,0.9022,0.027,5
1280,96,inf,278,0.8993,0.0219,5
1920,0,4,0,nan,0.0,5
1920,4,8,0,nan,0.0,5
1920,8,12,0,nan,0.0,5
1920,12,16,2,0.0,0.0,5
1920,16,20,14,0.1857,0.0391,5
1920,20,24,66,0.1545,0.0328,5
1920,24,32,246,0.1585,0.0431,5
1920,32,48,992,0.5252,0.0916,5
1920,48,64,939,0.8064,0.0513,5
1920,64,96,990,0.8782,0.0244,5
1920,96,inf,818,0.8623,0.0245,5
