imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,near,818,0.8963,0.0231,0.9206,0.012,5
640,mid,1929,0.7069,0.0334,0.8765,0.0265,5
640,far,1320,0.178,0.0436,0.9644,0.044,5
640,all,4067,0.5733,0.0293,0.8979,0.0203,5
960,near,1808,0.8982,0.0133,0.9083,0.0094,5
960,mid,1931,0.5418,0.0329,0.9264,0.0156,5
960,far,328,0.0909,0.0102,1.0,0.0,5
960,all,4067,0.6639,0.0186,0.9161,0.0099,5
1280,near,2747,0.8503,0.0246,0.924,0.0173,5
1280,mid,1238,0.3916,0.0546,0.9347,0.018,5
1280,far,82,0.1488,0.0159,1.0,0.0,5
1280,all,4067,0.6965,0.0313,0.9261,0.0147,5
1920,near,3739,0.763,0.0449,0.9067,0.035,5
1920,mid,326,0.1589,0.0394,0.9509,0.0357,5
1920,far,2,0.0,0.0,nan,0.0,5
1920,all,4067,0.7142,0.0439,0.9075,0.0344,5
