imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
1920,0,4,0,nan,0.0,5
1920,4,8,0,nan,0.0,5
1920,8,12,0,nan,0.0,5
1920,12,16,2,0.0,0.0,5
1920,16,20,14,0.1571,0.0931,5
1920,20,24,66,0.1455,0.0275,5
1920,24,32,246,0.1285,0.0365,5
1920,32,48,992,0.4248,0.104,5
1920,48,64,939,0.7195,0.0765,5
1920,64,96,990,0.8341,0.0483,5
1920,96,inf,818,0.8271,0.0737,5
2560,0,4,0,nan,0.0,5
2560,4,8,0,nan,0.0,5
2560,8,12,0,nan,0.0,5
2560,12,16,0,nan,0.0,5
2560,16,20,1,0.0,0.0,5
2560,20,24,3,0.0,0.0,5
2560,24,32,78,0.1154,0.0425,5
2560,32,48,467,0.1469,0.0616,5
2560,48,64,771,0.3798,0.1065,5
2560,64,96,1268,0.621,0.0888,5
2560,96,inf,1479,0.7648,0.1084,5
3840,0,4,0,nan,0.0,5
3840,4,8,0,nan,0.0,5
3840,8,12,0,nan,0.0,5
3840,12,16,0,nan,0.0,5
3840,16,20,0,nan,0.0,5
3840,20,24,0,nan,0.0,5
3840,24,32,2,0.0,0.0,5
3840,32,48,80,0.0475,0.0347,5
3840,48,64,246,0.035,0.0492,5
3840,64,96,992,0.178,0.1227,5
3840,96,inf,2747,0.5192,0.176,5
