imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
1920,near,3739,0.6952,0.0632,0.9314,0.0161,5
1920,mid,326,0.1331,0.0355,0.9466,0.0464,5
1920,far,2,0.0,0.0,nan,0.0,5
1920,all,4067,0.6498,0.0608,0.9315,0.0161,5
2560,near,3985,0.5721,0.0807,0.9256,0.0319,5
2560,mid,82,0.1098,0.0404,0.9857,0.0319,5
2560,far,0,nan,0.0,nan,0.0,5
2560,all,4067,0.5628,0.0795,0.9258,0.0319,5
3840,near,4065,0.3973,0.1492,0.8559,0.059,5
3840,mid,2,0.0,0.0,nan,0.0,5
3840,far,0,nan,0.0,nan,0.0,5
3840,all,4067,0.3971,0.1491,0.8559,0.059,5
