imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,5
640,8,16,2,0.0,0.0,5
640,16,24,80,0.03,0.0401,5
640,24,32,246,0.0455,0.0225,5
640,32,48,992,0.1865,0.0737,5
640,48,64,939,0.4927,0.1139,5
640,64,96,990,0.7697,0.0724,5
640,96,128,410,0.859,0.0515,5
640,128,192,346,0.8948,0.0276,5
640,192,inf,62,0.9548,0.0265,5
960,0,8,0,nan,0.0,5
960,8,16,2,0.0,0.0,5
960,16,24,80,0.07,0.036,5
960,24,32,246,0.0894,0.0209,5
960,32,48,992,0.2984,0.0987,5
960,48,64,939,0.6294,0.1054,5
960,64,96,990,0.8356,0.0524,5
960,96,128,410,0.8737,0.0338,5
960,128,192,346,0.8977,0.035,5
960,192,inf,62,0.9323,0.0462,5
1280,0,8,0,nan,0.0,5
1280,8,16,2,0.0,0.0,5
1280,16,24,80,0.125,0.0331,5
1280,24,32,246,0.1024,0.0214,5
1280,32,48,992,0.3494,0.0895,5
1280,48,64,939,0.6882,0.0923,5
1280,64,96,990,0.8499,0.0346,5
1280,96,128,410,0.8615,0.0298,5
1280,128,192,346,0.8642,0.0495,5
1280,192,inf,62,0.9129,0.0518,5
1920,0,8,0,nan,0.0,5
1920,8,16,2,0.0,0.0,5
1920,16,24,80,0.1475,0.0335,5
1920,24,32,246,0.1285,0.0365,5
1920,32,48,992,0.4248,0.104,5
1920,48,64,939,0.7195,0.0765,5
1920,64,96,990,0.8341,0.0483,5
1920,96,128,410,0.8176,0.0686,5
1920,128,192,346,0.8382,0.0772,5
1920,192,inf,62,0.829,0.1024,5
