imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,0,8,0,nan,0.0,,0.0,5
640,8,16,2,0.0,0.0,,0.0,5
640,16,24,80,0.03,0.0401,1.0,0.0,5
640,24,32,246,0.0455,0.0225,1.0,0.0,5
640,32,48,992,0.1865,0.0737,0.9637,0.0289,5
640,48,64,939,0.4927,0.1139,0.9085,0.0571,5
640,64,96,990,0.7697,0.0724,0.9166,0.0255,5
640,96,128,410,0.859,0.0515,0.9332,0.0169,5
640,128,192,346,0.8948,0.0276,0.9539,0.0154,5
640,192,inf,62,0.9548,0.0265,0.9289,0.0352,5
960,0,8,0,nan,0.0,,0.0,5
960,8,16,2,0.0,0.0,,0.0,5
960,16,24,80,0.07,0.036,1.0,0.0,5
960,24,32,246,0.0894,0.0209,0.9754,0.0396,5
960,32,48,992,0.2984,0.0987,0.9259,0.0288,5
960,48,64,939,0.6294,0.1054,0.955,0.009,5
960,64,96,990,0.8356,0.0524,0.9366,0.0128,5
960,96,128,410,0.8737,0.0338,0.9225,0.0202,5
960,128,192,346,0.8977,0.035,0.9386,0.016,5
960,192,inf,62,0.9323,0.0462,0.8998,0.0553,5
1280,0,8,0,nan,0.0,,0.0,5
1280,8,16,2,0.0,0.0,,0.0,5
1280,16,24,80,0.125,0.0331,1.0,0.0,5
1280,24,32,246,0.1024,0.0214,0.9776,0.0316,5
1280,32,48,992,0.3494,0.0895,0.9377,0.0306,5
1280,48,64,939,0.6882,0.0923,0.9671,0.013,5
1280,64,96,990,0.8499,0.0346,0.9428,0.0093,5
1280,96,128,410,0.8615,0.0298,0.9247,0.0169,5
1280,128,192,346,0.8642,0.0495,0.9241,0.0201,5
1280,192,inf,62,0.9129,0.0518,0.9063,0.0442,5
1920,0,8,0,nan,0.0,,0.0,5
1920,8,16,2,0.0,0.0,,0.0,5
1920,16,24,80,0.1475,0.0335,1.0,0.0,5
1920,24,32,246,0.1285,0.0365,0.9293,0.0605,5
1920,32,48,992,0.4248,0.104,0.936,0.0361,5
1920,48,64,939,0.7195,0.0765,0.9585,0.0193,5
1920,64,96,990,0.8341,0.0483,0.9243,0.0082,5
1920,96,128,410,0.8176,0.0686,0.9055,0.0408,5
1920,128,192,346,0.8382,0.0772,0.9274,0.0522,5
1920,192,inf,62,0.829,0.1024,0.9124,0.038,5
