imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,5
640,4,8,82,0.0293,0.0391,5
640,8,12,467,0.0707,0.0309,5
640,12,16,771,0.2117,0.0855,5
640,16,20,748,0.4567,0.1165,5
640,20,24,520,0.655,0.099,5
640,24,32,661,0.8206,0.0607,5
640,32,48,540,0.8633,0.0449,5
640,48,64,216,0.9056,0.0231,5
640,64,96,61,0.9705,0.0269,5
640,96,inf,1,0.0,0.0,5
960,0,4,0,nan,0.0,5
960,4,8,2,0.0,0.0,5
960,8,12,80,0.07,0.036,5
960,12,16,246,0.0894,0.0209,5
960,16,20,456,0.2232,0.0825,5
960,20,24,536,0.3623,0.113,5
960,24,32,939,0.6294,0.1054,5
960,32,48,990,0.8356,0.0524,5
960,48,64,410,0.8737,0.0338,5
960,64,96,346,0.8977,0.035,5
960,96,inf,62,0.9323,0.0462,5
1280,0,4,0,nan,0.0,5
1280,4,8,0,nan,0.0,5
1280,8,12,4,0.0,0.0,5
1280,12,16,78,0.1282,0.0339,5
1280,16,20,164,0.1061,0.0254,5
1280,20,24,303,0.1881,0.0596,5
1280,24,32,771,0.3857,0.0933,5
1280,32,48,1268,0.7164,0.0777,5
1280,48,64,661,0.8762,0.0343,5
1280,64,96,540,0.8637,0.0285,5
1280,96,inf,278,0.8719,0.0551,5
1920,0,4,0,nan,0.0,5
1920,4,8,0,nan,0.0,5
1920,8,12,0,nan,0.0,5
1920,12,16,2,0.0,0.0,5
1920,16,20,14,0.1571,0.0931,5
1920,20,24,66,0.1455,0.0275,5
1920,24,32,246,0.1285,0.0365,5
1920,32,48,992,0.4248,0.104,5
1920,48,64,939,0.7195,0.0765,5
1920,64,96,990,0.8341,0.0483,5
1920,96,inf,818,0.8271,0.0737,5
