imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,near,818,0.8814,0.0338,0.9412,0.0093,5
640,mid,1929,0.6348,0.0924,0.9132,0.0351,5
640,far,1320,0.1505,0.0601,0.966,0.0272,5
640,all,4067,0.5272,0.0686,0.9263,0.0219,5
960,near,1808,0.8594,0.0418,0.932,0.0129,5
960,mid,1931,0.4593,0.1016,0.9447,0.016,5
960,far,328,0.0841,0.0156,0.9816,0.0278,5
960,all,4067,0.6069,0.0674,0.9368,0.0121,5
1280,near,2747,0.7996,0.0515,0.943,0.0077,5
1280,mid,1238,0.3003,0.0757,0.9401,0.0291,5
1280,far,82,0.122,0.0323,1.0,0.0,5
1280,all,4067,0.6339,0.0582,0.9424,0.0102,5
1920,near,3739,0.6952,0.0632,0.9314,0.0161,5
1920,mid,326,0.1331,0.0355,0.9466,0.0464,5
1920,far,2,0.0,0.0,nan,0.0,5
1920,all,4067,0.6498,0.0608,0.9315,0.0161,5
