imgsz,phys_bin,n_gt,ap_mean,ap_std,n_seeds
640,16-24,80,0.0011,0.0007,3
960,16-24,80,0.0103,0.0053,3
1280,16-24,80,0.0205,0.0136,3
1920,16-24,80,0.0171,0.0087,3
640,24-32,246,0.0153,0.0068,3
960,24-32,246,0.0413,0.0137,3
1280,24-32,246,0.0449,0.0119,3
1920,24-32,246,0.0418,0.007,3
640,32-48,992,0.4156,0.0092,3
960,32-48,992,0.4956,0.0151,3
1280,32-48,992,0.5274,0.0211,3
1920,32-48,992,0.5497,0.027,3
640,48-64,939,0.8018,0.0085,3
960,48-64,939,0.8359,0.008,3
1280,48-64,939,0.8492,0.0128,3
1920,48-64,939,0.8446,0.0094,3
640,64-96,990,0.9248,0.0039,3
960,64-96,990,0.9313,0.0034,3
1280,64-96,990,0.9292,0.0038,3
1920,64-96,990,0.9177,0.0119,3
640,96-128,410,0.911,0.0074,3
960,96-128,410,0.9108,0.0124,3
1280,96-128,410,0.8934,0.0065,3
1920,96-128,410,0.8699,0.0306,3
640,128-192,346,0.8945,0.0151,3
960,128-192,346,0.9039,0.0122,3
1280,128-192,346,0.879,0.012,3
1920,128-192,346,0.877,0.0417,3
640,192-inf,62,0.8557,0.0197,3
960,192-inf,62,0.8428,0.0531,3
1280,192-inf,62,0.8128,0.0737,3
1920,192-inf,62,0.7759,0.1299,3
