tag,size_a,size_b,phys_bin,n_box,n_plant,delta,ci_lo,ci_hi,min_margin_for_equivalence,verdict
nearfar,960,1280,16-24,80,64,-0.0377,-0.0732,-0.0090,0.0732,KHAC BIET
nearfar,960,1280,24-32,246,138,-0.0055,-0.0167,0.0060,0.0167,TUONG DUONG
nearfar,960,1280,32-48,992,411,-0.0238,-0.0378,-0.0100,0.0378,TUONG DUONG
nearfar,960,1280,48-64,939,438,-0.0208,-0.0355,-0.0062,0.0355,TUONG DUONG
nearfar,960,1280,64-96,990,435,-0.0026,-0.0148,0.0091,0.0148,TUONG DUONG
nearfar,960,1280,96-128,410,255,0.0073,-0.0123,0.0269,0.0269,TUONG DUONG
nearfar,960,1280,128-192,346,204,0.0493,0.0285,0.0711,0.0711,KHAC BIET
nearfar,960,1280,>=192,62,49,0.0057,-0.0351,0.0484,0.0484,TUONG DUONG
nearfar,960,1920,16-24,80,64,-0.0250,-0.0614,0.0094,0.0614,khong ket luan
nearfar,960,1920,24-32,246,138,-0.0053,-0.0234,0.0122,0.0234,TUONG DUONG
nearfar,960,1920,32-48,992,411,-0.0432,-0.0610,-0.0251,0.0610,KHAC BIET
nearfar,960,1920,48-64,939,438,-0.0177,-0.0391,0.0042,0.0391,TUONG DUONG
nearfar,960,1920,64-96,990,435,0.0219,0.0028,0.0422,0.0422,TUONG DUONG
nearfar,960,1920,96-128,410,255,0.0397,0.0134,0.0667,0.0667,KHAC BIET
nearfar,960,1920,128-192,346,204,0.0183,-0.0073,0.0443,0.0443,TUONG DUONG
nearfar,960,1920,>=192,62,49,0.0001,-0.0444,0.0460,0.0460,TUONG DUONG
nearfar,1280,1920,16-24,80,64,0.0127,-0.0046,0.0360,0.0360,TUONG DUONG
nearfar,1280,1920,24-32,246,138,0.0001,-0.0157,0.0162,0.0162,TUONG DUONG
nearfar,1280,1920,32-48,992,411,-0.0194,-0.0331,-0.0054,0.0331,TUONG DUONG
nearfar,1280,1920,48-64,939,438,0.0031,-0.0125,0.0195,0.0195,TUONG DUONG
nearfar,1280,1920,64-96,990,435,0.0246,0.0086,0.0411,0.0411,TUONG DUONG
nearfar,1280,1920,96-128,410,255,0.0324,0.0110,0.0557,0.0557,KHAC BIET
nearfar,1280,1920,128-192,346,204,-0.0310,-0.0527,-0.0093,0.0527,KHAC BIET
nearfar,1280,1920,>=192,62,49,-0.0056,-0.0449,0.0312,0.0449,TUONG DUONG
