imgsz,min_n,n_bins_used,h50_px
640,0,10,59.86
640,10,8,59.86
640,25,8,59.86
640,50,8,59.86
640,100,6,59.86
640,200,6,59.86
640,500,3,59.86
640,1000,0,
960,0,10,52.95
960,10,8,52.95
960,25,8,52.95
960,50,8,52.95
960,100,6,52.95
960,200,6,52.95
960,500,3,52.95
960,1000,0,
1280,0,10,51.9
1280,10,8,51.9
1280,25,8,51.9
1280,50,8,51.9
1280,100,6,51.9
1280,200,6,51.9
1280,500,3,51.9
1280,1000,0,
1920,0,10,51.26
1920,10,8,51.26
1920,25,8,51.26
1920,50,8,51.26
1920,100,6,51.26
1920,200,6,51.26
1920,500,3,51.26
1920,1000,0,
