tag,h_lo_px,h_hi_px,group,n_gt,recall_mean,recall_std,d_median_m,wilson_lo,wilson_hi,n_seeds
stock,24,32,near,100,0.7233,0.0945,5.58,0.6701,0.7709,3
stock,24,32,far,100,0.4767,0.0808,10.11,0.4208,0.5331,3
stock,32,40,near,196,0.9286,0.0492,4.10,0.9049,0.9467,3
stock,32,40,far,197,0.7513,0.1000,8.73,0.7149,0.7844,3
stock,40,52,near,347,0.9529,0.0308,3.27,0.9383,0.9642,3
stock,40,52,far,348,0.9617,0.0101,6.30,0.9482,0.9717,3
stock,52,68,near,387,0.9931,0.0054,2.51,0.9865,0.9965,3
stock,52,68,far,387,0.9914,0.0039,5.08,0.9842,0.9953,3
stock,68,90,near,333,0.9960,0.0035,1.97,0.9898,0.9984,3
stock,68,90,far,333,0.9930,0.0035,3.96,0.9856,0.9966,3
stock,90,128,near,266,0.9887,0.0038,1.47,0.9787,0.9941,3
stock,90,128,far,266,0.9962,0.0000,2.60,0.9890,0.9987,3
nearfar,24,32,near,100,0.6233,0.0208,5.58,0.5673,0.6763,3
nearfar,24,32,far,100,0.3133,0.0462,10.11,0.2635,0.3679,3
nearfar,32,40,near,196,0.9031,0.0184,4.10,0.8765,0.9244,3
nearfar,32,40,far,197,0.6887,0.0205,8.73,0.6502,0.7247,3
nearfar,40,52,near,347,0.9539,0.0144,3.27,0.9394,0.9650,3
nearfar,40,52,far,348,0.9492,0.0083,6.30,0.9342,0.9610,3
nearfar,52,68,near,387,0.9948,0.0045,2.51,0.9888,0.9976,3
nearfar,52,68,far,387,0.9931,0.0039,5.08,0.9865,0.9965,3
nearfar,68,90,near,333,0.9880,0.0030,1.97,0.9791,0.9931,3
nearfar,68,90,far,333,0.9930,0.0017,3.96,0.9856,0.9966,3
nearfar,90,128,near,266,0.9937,0.0043,1.47,0.9854,0.9973,3
nearfar,90,128,far,266,0.9950,0.0022,2.60,0.9872,0.9980,3
