imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,5
640,8,16,2,0.0,0.0,5
640,16,24,80,0.17,0.0616,5
640,24,32,246,0.3431,0.1075,5
640,32,48,992,0.8214,0.0502,5
640,48,64,939,0.9789,0.0033,5
640,64,96,990,0.9899,0.0031,5
640,96,128,410,0.9922,0.002,5
640,128,192,346,0.9908,0.0047,5
640,192,inf,62,0.9839,0.0,5
960,0,8,0,nan,0.0,5
960,8,16,2,0.0,0.0,5
960,16,24,80,0.2825,0.0227,5
960,24,32,246,0.4114,0.0458,5
960,32,48,992,0.8669,0.0213,5
960,48,64,939,0.9849,0.0056,5
960,64,96,990,0.9905,0.0028,5
960,96,128,410,0.9917,0.0028,5
960,128,192,346,0.9942,0.0,5
960,192,inf,62,0.9839,0.0,5
1280,0,8,0,nan,0.0,5
1280,8,16,2,0.0,0.0,5
1280,16,24,80,0.32,0.0143,5
1280,24,32,246,0.452,0.0292,5
1280,32,48,992,0.8732,0.012,5
1280,48,64,939,0.9868,0.0059,5
1280,64,96,990,0.9903,0.0026,5
1280,96,128,410,0.9898,0.004,5
1280,128,192,346,0.9884,0.0054,5
1280,192,inf,62,0.9839,0.0,5
1920,0,8,0,nan,0.0,5
1920,8,16,2,0.0,0.0,5
1920,16,24,80,0.415,0.0428,5
1920,24,32,246,0.5423,0.0297,5
1920,32,48,992,0.8935,0.0195,5
1920,48,64,939,0.99,0.0053,5
1920,64,96,990,0.9901,0.0024,5
1920,96,128,410,0.9893,0.007,5
1920,128,192,346,0.9913,0.002,5
1920,192,inf,62,0.9806,0.0072,5
