imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,0,8,0,nan,0.0,0.0,0.0,3
640,8,16,2,0.0,0.0,0.0,0.0,3
640,16,24,80,0.1542,0.0753,0.7527,0.1847,3
640,24,32,246,0.393,0.1169,0.9431,0.0283,3
640,32,48,992,0.8522,0.0382,0.5943,0.0908,3
640,48,64,939,0.9801,0.0037,0.3527,0.0619,3
640,64,96,990,0.9906,0.0012,0.2413,0.0295,3
640,96,128,410,0.9911,0.0014,0.1859,0.0299,3
640,128,192,346,0.9923,0.0017,0.3083,0.0721,3
640,192,inf,62,0.9839,0.0,0.3331,0.0716,3
960,0,8,0,nan,0.0,,0.0,3
960,8,16,2,0.0,0.0,0.0,0.0,3
960,16,24,80,0.2958,0.0191,0.3217,0.1436,3
960,24,32,246,0.4417,0.0261,0.4535,0.0999,3
960,32,48,992,0.8814,0.0032,0.4921,0.043,3
960,48,64,939,0.9865,0.0022,0.3395,0.0242,3
960,64,96,990,0.9916,0.0015,0.2121,0.0144,3
960,96,128,410,0.9927,0.0024,0.2141,0.0683,3
960,128,192,346,0.9942,0.0,0.3293,0.0808,3
960,192,inf,62,0.9839,0.0,0.2962,0.0655,3
1280,0,8,0,nan,0.0,0.0,0.0,3
1280,8,16,2,0.0,0.0,0.0,0.0,3
1280,16,24,80,0.325,0.0125,0.8924,0.0934,3
1280,24,32,246,0.458,0.0341,0.634,0.0411,3
1280,32,48,992,0.8726,0.0051,0.4584,0.0429,3
1280,48,64,939,0.9876,0.0043,0.303,0.0326,3
1280,64,96,990,0.9902,0.0012,0.223,0.0418,3
1280,96,128,410,0.9919,0.0014,0.2408,0.0714,3
1280,128,192,346,0.9894,0.0017,0.3993,0.0705,3
1280,192,inf,62,0.9839,0.0,0.3363,0.0817,3
1920,0,8,0,nan,0.0,0.0,0.0,3
1920,8,16,2,0.0,0.0,0.0,0.0,3
1920,16,24,80,0.4,0.0375,0.5222,0.0707,3
1920,24,32,246,0.5366,0.0361,0.4124,0.0547,3
1920,32,48,992,0.8898,0.0237,0.3307,0.0487,3
1920,48,64,939,0.9911,0.0033,0.2595,0.031,3
1920,64,96,990,0.9912,0.0021,0.2242,0.0661,3
1920,96,128,410,0.9943,0.0014,0.2816,0.0423,3
1920,128,192,346,0.9923,0.0017,0.419,0.0374,3
1920,192,inf,62,0.9839,0.0,0.4222,0.1061,3
