imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,3
640,4,8,82,0.1504,0.0735,3
640,8,12,467,0.5246,0.0931,3
640,12,16,771,0.904,0.0305,3
640,16,20,748,0.9782,0.0034,3
640,20,24,520,0.9897,0.0022,3
640,24,32,661,0.9904,0.0017,3
640,32,48,540,0.992,0.0021,3
640,48,64,216,0.9907,0.0,3
640,64,96,61,1.0,0.0,3
640,96,inf,1,0.0,0.0,3
960,0,4,0,nan,0.0,3
960,4,8,2,0.0,0.0,3
960,8,12,80,0.2958,0.0191,3
960,12,16,246,0.4417,0.0261,3
960,16,20,456,0.8077,0.0063,3
960,20,24,536,0.944,0.0065,3
960,24,32,939,0.9865,0.0022,3
960,32,48,990,0.9916,0.0015,3
960,48,64,410,0.9927,0.0024,3
960,64,96,346,0.9942,0.0,3
960,96,inf,62,0.9839,0.0,3
1280,0,4,0,nan,0.0,3
1280,4,8,0,nan,0.0,3
1280,8,12,4,0.0,0.0,3
1280,12,16,78,0.3333,0.0128,3
1280,16,20,164,0.439,0.0323,3
1280,20,24,303,0.6623,0.0133,3
1280,24,32,771,0.9153,0.0084,3
1280,32,48,1268,0.9882,0.0036,3
1280,48,64,661,0.9904,0.0023,3
1280,64,96,540,0.9907,0.0019,3
1280,96,inf,278,0.9892,0.0,3
1920,0,4,0,nan,0.0,3
1920,4,8,0,nan,0.0,3
1920,8,12,0,nan,0.0,3
1920,12,16,2,0.0,0.0,3
1920,16,20,14,0.2857,0.0,3
1920,20,24,66,0.4242,0.0455,3
1920,24,32,246,0.5366,0.0361,3
1920,32,48,992,0.8898,0.0237,3
1920,48,64,939,0.9911,0.0033,3
1920,64,96,990,0.9912,0.0021,3
1920,96,inf,818,0.9927,0.0012,3
