imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,near,818,0.991,0.0014,0.2325,0.0432,3
640,mid,1929,0.9855,0.0024,0.2842,0.0371,3
640,far,1320,0.723,0.0547,0.616,0.0771,3
640,all,4067,0.9014,0.0182,0.3103,0.0286,3
960,near,1808,0.9921,0.0006,0.2282,0.0337,3
960,mid,1931,0.9325,0.0026,0.3996,0.0307,3
960,far,328,0.4035,0.0203,0.3983,0.1377,3
960,all,4067,0.9163,0.0031,0.2903,0.0169,3
1280,near,2747,0.9893,0.0014,0.2628,0.0313,3
1280,mid,1238,0.7903,0.0036,0.4734,0.0435,3
1280,far,82,0.3171,0.0122,0.6848,0.2825,3
1280,all,4067,0.9152,0.0022,0.298,0.027,3
1920,near,3739,0.9646,0.0071,0.2714,0.0307,3
1920,mid,326,0.5031,0.0215,0.4298,0.049,3
1920,far,2,0.0,0.0,0.0,0.0,3
1920,all,4067,0.9271,0.0083,0.2734,0.0263,3
