imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,5
640,8,16,2,0.0,0.0,5
640,16,24,80,0.0,0.0,5
640,24,32,246,0.0138,0.0079,5
640,32,48,992,0.104,0.0214,5
640,48,64,939,0.4501,0.0301,5
640,64,96,990,0.76,0.035,5
640,96,128,410,0.8127,0.0303,5
640,128,192,346,0.7965,0.0226,5
640,192,inf,62,0.9065,0.0239,5
960,0,8,0,nan,0.0,5
960,8,16,2,0.0,0.0,5
960,16,24,80,0.0225,0.0205,5
960,24,32,246,0.0463,0.0148,5
960,32,48,992,0.1873,0.0237,5
960,48,64,939,0.5736,0.0294,5
960,64,96,990,0.7994,0.0106,5
960,96,128,410,0.8293,0.037,5
960,128,192,346,0.8474,0.0385,5
960,192,inf,62,0.9194,0.0114,5
1280,0,8,0,nan,0.0,5
1280,8,16,2,0.0,0.0,5
1280,16,24,80,0.05,0.0459,5
1280,24,32,246,0.0561,0.0178,5
1280,32,48,992,0.2141,0.0318,5
1280,48,64,939,0.5985,0.0367,5
1280,64,96,990,0.8026,0.0128,5
1280,96,128,410,0.8102,0.0414,5
1280,128,192,346,0.7948,0.0228,5
1280,192,inf,62,0.9097,0.0245,5
1920,0,8,0,nan,0.0,5
1920,8,16,2,0.0,0.0,5
1920,16,24,80,0.0575,0.0209,5
1920,24,32,246,0.0561,0.0105,5
1920,32,48,992,0.2417,0.0464,5
1920,48,64,939,0.6087,0.0491,5
1920,64,96,990,0.777,0.0342,5
1920,96,128,410,0.782,0.0346,5
1920,128,192,346,0.8249,0.0234,5
1920,192,inf,62,0.8839,0.0575,5
2560,0,8,0,nan,0.0,5
2560,8,16,2,0.0,0.0,5
2560,16,24,80,0.035,0.0369,5
2560,24,32,246,0.0366,0.017,5
2560,32,48,992,0.2131,0.0543,5
2560,48,64,939,0.6002,0.0764,5
2560,64,96,990,0.8006,0.0375,5
2560,96,128,410,0.8293,0.0191,5
2560,128,192,346,0.8416,0.0266,5
2560,192,inf,62,0.8548,0.0675,5
3840,0,8,0,nan,0.0,5
3840,8,16,2,0.0,0.0,5
3840,16,24,80,0.0125,0.0153,5
3840,24,32,246,0.0187,0.0055,5
3840,32,48,992,0.2121,0.0401,5
3840,48,64,939,0.5789,0.0498,5
3840,64,96,990,0.7489,0.0234,5
3840,96,128,410,0.7659,0.0279,5
3840,128,192,346,0.7023,0.0298,5
3840,192,inf,62,0.5,0.0427,5
