imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,0,8,0,nan,0.0,,0.0,5
640,8,16,2,0.0,0.0,,0.0,5
640,16,24,80,0.0,0.0,,0.0,5
640,24,32,246,0.0138,0.0079,1.0,0.0,5
640,32,48,992,0.104,0.0214,0.9971,0.0064,5
640,48,64,939,0.4501,0.0301,0.9855,0.0067,5
640,64,96,990,0.76,0.035,0.9725,0.0091,5
640,96,128,410,0.8127,0.0303,0.9739,0.0085,5
640,128,192,346,0.7965,0.0226,0.9928,0.0044,5
640,192,inf,62,0.9065,0.0239,0.9897,0.0094,5
960,0,8,0,nan,0.0,,0.0,5
960,8,16,2,0.0,0.0,,0.0,5
960,16,24,80,0.0225,0.0205,1.0,0.0,5
960,24,32,246,0.0463,0.0148,1.0,0.0,5
960,32,48,992,0.1873,0.0237,0.985,0.0093,5
960,48,64,939,0.5736,0.0294,0.983,0.0065,5
960,64,96,990,0.7994,0.0106,0.9687,0.0055,5
960,96,128,410,0.8293,0.037,0.9799,0.0033,5
960,128,192,346,0.8474,0.0385,0.9926,0.0036,5
960,192,inf,62,0.9194,0.0114,0.9794,0.0075,5
1280,0,8,0,nan,0.0,,0.0,5
1280,8,16,2,0.0,0.0,,0.0,5
1280,16,24,80,0.05,0.0459,1.0,0.0,5
1280,24,32,246,0.0561,0.0178,1.0,0.0,5
1280,32,48,992,0.2141,0.0318,0.9761,0.01,5
1280,48,64,939,0.5985,0.0367,0.9839,0.0055,5
1280,64,96,990,0.8026,0.0128,0.9676,0.0031,5
1280,96,128,410,0.8102,0.0414,0.9784,0.0062,5
1280,128,192,346,0.7948,0.0228,0.9929,0.0043,5
1280,192,inf,62,0.9097,0.0245,0.9825,0.0124,5
1920,0,8,0,nan,0.0,,0.0,5
1920,8,16,2,0.0,0.0,,0.0,5
1920,16,24,80,0.0575,0.0209,1.0,0.0,5
1920,24,32,246,0.0561,0.0105,1.0,0.0,5
1920,32,48,992,0.2417,0.0464,0.9739,0.008,5
1920,48,64,939,0.6087,0.0491,0.9819,0.0048,5
1920,64,96,990,0.777,0.0342,0.9628,0.0038,5
1920,96,128,410,0.782,0.0346,0.9781,0.0063,5
1920,128,192,346,0.8249,0.0234,0.9939,0.0079,5
1920,192,inf,62,0.8839,0.0575,0.9817,0.0227,5
2560,0,8,0,nan,0.0,,0.0,5
2560,8,16,2,0.0,0.0,,0.0,5
2560,16,24,80,0.035,0.0369,1.0,0.0,5
2560,24,32,246,0.0366,0.017,1.0,0.0,5
2560,32,48,992,0.2131,0.0543,0.9709,0.0107,5
2560,48,64,939,0.6002,0.0764,0.9857,0.0078,5
2560,64,96,990,0.8006,0.0375,0.9611,0.0116,5
2560,96,128,410,0.8293,0.0191,0.9783,0.0084,5
2560,128,192,346,0.8416,0.0266,0.9726,0.0043,5
2560,192,inf,62,0.8548,0.0675,0.9894,0.0097,5
3840,0,8,0,nan,0.0,,0.0,5
3840,8,16,2,0.0,0.0,,0.0,5
3840,16,24,80,0.0125,0.0153,1.0,0.0,5
3840,24,32,246,0.0187,0.0055,1.0,0.0,5
3840,32,48,992,0.2121,0.0401,0.9727,0.0195,5
3840,48,64,939,0.5789,0.0498,0.9836,0.0081,5
3840,64,96,990,0.7489,0.0234,0.9482,0.0132,5
3840,96,128,410,0.7659,0.0279,0.9193,0.0439,5
3840,128,192,346,0.7023,0.0298,0.9057,0.0254,5
3840,192,inf,62,0.5,0.0427,1.0,0.0,5
