imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,5
640,4,8,82,0.0,0.0,5
640,8,12,467,0.0274,0.0078,5
640,12,16,771,0.1217,0.0252,5
640,16,20,748,0.4003,0.0294,5
640,20,24,520,0.6677,0.0373,5
640,24,32,661,0.7994,0.0345,5
640,32,48,540,0.8156,0.0268,5
640,48,64,216,0.7796,0.0313,5
640,64,96,61,0.9213,0.0243,5
640,96,inf,1,0.0,0.0,5
960,0,4,0,nan,0.0,5
960,4,8,2,0.0,0.0,5
960,8,12,80,0.0225,0.0205,5
960,12,16,246,0.0463,0.0148,5
960,16,20,456,0.1246,0.0212,5
960,20,24,536,0.2407,0.0265,5
960,24,32,939,0.5736,0.0294,5
960,32,48,990,0.7994,0.0106,5
960,48,64,410,0.8293,0.037,5
960,64,96,346,0.8474,0.0385,5
960,96,inf,62,0.9194,0.0114,5
1280,0,4,0,nan,0.0,5
1280,4,8,0,nan,0.0,5
1280,8,12,4,0.0,0.0,5
1280,12,16,78,0.0513,0.0471,5
1280,16,20,164,0.0598,0.0264,5
1280,20,24,303,0.0931,0.0174,5
1280,24,32,771,0.2441,0.0355,5
1280,32,48,1268,0.6394,0.0277,5
1280,48,64,661,0.8257,0.0163,5
1280,64,96,540,0.8144,0.0415,5
1280,96,inf,278,0.805,0.0078,5
1920,0,4,0,nan,0.0,5
1920,4,8,0,nan,0.0,5
1920,8,12,0,nan,0.0,5
1920,12,16,2,0.0,0.0,5
1920,16,20,14,0.0429,0.0639,5
1920,20,24,66,0.0606,0.0186,5
1920,24,32,246,0.0561,0.0105,5
1920,32,48,992,0.2417,0.0464,5
1920,48,64,939,0.6087,0.0491,5
1920,64,96,990,0.777,0.0342,5
1920,96,inf,818,0.8078,0.0278,5
