imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
640,near,818,0.813,0.0237,0.9829,0.0034,5
640,mid,1929,0.6091,0.0308,0.9771,0.0078,5
640,far,1320,0.0808,0.0172,0.9972,0.0062,5
640,all,4067,0.4786,0.0221,0.98,0.0048,5
960,near,1808,0.8195,0.018,0.9763,0.0028,5
960,mid,1931,0.3751,0.0258,0.9835,0.0067,5
960,far,328,0.0402,0.016,1.0,0.0,5
960,all,4067,0.5457,0.0098,0.9787,0.0029,5
1280,near,2747,0.7354,0.0131,0.9776,0.003,5
1280,mid,1238,0.1827,0.0253,0.9775,0.0095,5
1280,far,82,0.0488,0.0448,1.0,0.0,5
1280,all,4067,0.5533,0.0102,0.9776,0.0031,5
1920,near,3739,0.5995,0.0191,0.9752,0.0019,5
1920,mid,326,0.0564,0.0129,1.0,0.0,5
1920,far,2,0.0,0.0,nan,0.0,5
1920,all,4067,0.5556,0.0169,0.9754,0.0019,5
2560,near,3985,0.5673,0.0304,0.9726,0.0044,5
2560,mid,82,0.0341,0.036,1.0,0.0,5
2560,far,0,nan,0.0,nan,0.0,5
2560,all,4067,0.5566,0.0296,0.9726,0.0045,5
3840,near,4065,0.5139,0.02,0.9501,0.0137,5
3840,mid,2,0.0,0.0,nan,0.0,5
3840,far,0,nan,0.0,nan,0.0,5
3840,all,4067,0.5136,0.02,0.9501,0.0137,5
