epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,124.271,2.49674,2.50383,1.95307,0.05426,0.30326,0.29789,0.29801,0.13083,1.93253,1.47505,1.52594,0,0.00332538,0.00332538,0.00332538,0.00332538
2,246.115,1.86281,1.41927,1.37825,0.00777,0.32984,0.32686,0.31034,0.13452,1.92948,1.36099,1.46604,0,0.00662575,0.00662575,0.00662575,0.00662575
3,367.696,1.80475,1.31505,1.32847,0.00858,0.83967,0.35335,0.32587,0.15042,1.85105,1.3565,1.44391,0,0.00989312,0.00989312,0.00989312,0.00989312
4,489.206,1.73111,1.21128,1.29147,0.00879,0.84562,0.34617,0.33976,0.16065,1.80672,1.26341,1.41001,0,0.0098515,0.0098515,0.0098515,0.0098515
5,610.698,1.63007,1.09645,1.23975,0.00964,0.8563,0.35366,0.35067,0.16917,1.79097,1.15771,1.40873,0,0.009802,0.009802,0.009802,0.009802
6,732.276,1.5407,1.02313,1.19626,0.01184,0.8452,0.35432,0.34491,0.1665,1.79355,1.16306,1.39553,0,0.0097525,0.0097525,0.0097525,0.0097525
7,853.833,1.46235,0.9627,1.16059,0.01084,0.84783,0.35846,0.35455,0.16963,1.83078,1.12818,1.4098,0,0.009703,0.009703,0.009703,0.009703
8,975.257,1.3892,0.90224,1.12663,0.00979,0.85451,0.35558,0.35296,0.17171,1.80015,1.12178,1.40213,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1096.67,1.32959,0.85585,1.09849,0.00992,0.84936,0.34419,0.34175,0.16294,1.83436,1.18853,1.43546,0,0.009604,0.009604,0.009604,0.009604
10,1218.2,1.26608,0.80961,1.07305,0.00983,0.84534,0.34577,0.34222,0.15887,1.87371,1.16407,1.48429,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1339.6,1.20762,0.76338,1.04798,0.01034,0.84917,0.34329,0.34185,0.16311,1.85449,1.20207,1.45886,0,0.009505,0.009505,0.009505,0.009505
12,1460.95,1.15209,0.72517,1.02326,0.00975,0.84504,0.34401,0.3361,0.15866,1.86424,1.21562,1.48725,0,0.0094555,0.0094555,0.0094555,0.0094555
13,1582.33,1.09875,0.68669,1.00492,0.00984,0.34853,0.34113,0.33865,0.15948,1.8703,1.22581,1.49707,0,0.009406,0.009406,0.009406,0.009406
14,1703.6,1.05787,0.6535,0.98629,0.0087,0.85088,0.3243,0.32651,0.15716,1.86848,1.33412,1.48635,0,0.0093565,0.0093565,0.0093565,0.0093565
15,1825.01,1.0152,0.61899,0.96951,0.00988,0.34805,0.32973,0.32881,0.15559,1.88105,1.29433,1.5224,0,0.009307,0.009307,0.009307,0.009307
16,1946.35,0.9835,0.5925,0.95453,0.01012,0.34232,0.33085,0.32839,0.15568,1.88545,1.2748,1.53994,0,0.0092575,0.0092575,0.0092575,0.0092575
17,2067.75,0.94787,0.56562,0.94305,0.00889,0.424,0.33561,0.33241,0.15858,1.90413,1.33554,1.54707,0,0.009208,0.009208,0.009208,0.009208
18,2189.1,0.91956,0.54315,0.93177,0.01019,0.33781,0.34318,0.32024,0.15161,1.90013,1.38672,1.5434,0,0.0091585,0.0091585,0.0091585,0.0091585
19,2310.52,0.89476,0.5231,0.92277,0.00919,0.34264,0.32188,0.32235,0.15483,1.88748,1.37917,1.5502,0,0.009109,0.009109,0.009109,0.009109
20,2431.84,0.86733,0.50416,0.91326,0.00833,0.5404,0.32983,0.32476,0.1568,1.88877,1.33807,1.56285,0,0.0090595,0.0090595,0.0090595,0.0090595
21,2553.23,0.84224,0.48473,0.90412,0.00967,0.3583,0.32083,0.31436,0.15139,1.90937,1.48997,1.56869,0,0.00901,0.00901,0.00901,0.00901
22,2674.55,0.8258,0.47271,0.89861,0.00885,0.34538,0.31576,0.31863,0.15296,1.89847,1.3909,1.58084,0,0.0089605,0.0089605,0.0089605,0.0089605
23,2795.83,0.79362,0.45912,0.88961,0.00869,0.32788,0.34547,0.3216,0.15617,1.8887,1.40982,1.57996,0,0.008911,0.008911,0.008911,0.008911
24,2917.2,0.78751,0.44929,0.88541,0.0087,0.32399,0.3379,0.31807,0.15541,1.89165,1.47999,1.57076,0,0.0088615,0.0088615,0.0088615,0.0088615
25,3038.53,0.76256,0.43354,0.87865,0.00848,0.3492,0.33834,0.31717,0.15307,1.90778,1.45849,1.59117,0,0.008812,0.008812,0.008812,0.008812
26,3159.82,0.75068,0.426,0.87404,0.00836,0.39256,0.30834,0.31958,0.1546,1.90677,1.44987,1.59981,0,0.0087625,0.0087625,0.0087625,0.0087625
27,3281.11,0.73093,0.41413,0.86755,0.00815,0.33807,0.30293,0.30855,0.14799,1.92711,1.51579,1.61474,0,0.008713,0.008713,0.008713,0.008713
28,3402.43,0.71628,0.40547,0.86436,0.00835,0.37053,0.32011,0.31011,0.15,1.91863,1.51451,1.61795,0,0.0086635,0.0086635,0.0086635,0.0086635
29,3523.76,0.70211,0.39962,0.85935,0.00862,0.33726,0.32705,0.31748,0.15486,1.89982,1.48432,1.60755,0,0.008614,0.008614,0.008614,0.008614
30,3645.1,0.69107,0.39368,0.85638,0.0081,0.33618,0.29919,0.30855,0.15061,1.90992,1.54164,1.5988,0,0.0085645,0.0085645,0.0085645,0.0085645
31,3766.42,0.67635,0.38469,0.8526,0.00882,0.34118,0.30203,0.3145,0.15352,1.91329,1.51601,1.62776,0,0.008515,0.008515,0.008515,0.008515
32,3887.78,0.66435,0.37707,0.84916,0.00829,0.33955,0.30724,0.31234,0.15342,1.89064,1.472,1.60332,0,0.0084655,0.0084655,0.0084655,0.0084655
