epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,124.385,2.45017,2.50726,1.91925,0.06375,0.28566,0.29135,0.27597,0.1185,1.96435,1.54517,1.53739,0,0.00332538,0.00332538,0.00332538,0.00332538
2,246.352,1.86421,1.40844,1.37234,0.00867,0.33178,0.33297,0.32245,0.14635,1.86041,1.34678,1.43205,0,0.00662575,0.00662575,0.00662575,0.00662575
3,367.971,1.80677,1.32462,1.32122,0.01228,0.84467,0.33989,0.34112,0.15946,1.84642,1.27503,1.41865,0,0.00989312,0.00989312,0.00989312,0.00989312
4,489.617,1.7341,1.20987,1.28457,0.01286,0.84993,0.34473,0.34403,0.16575,1.79824,1.24959,1.39509,0,0.0098515,0.0098515,0.0098515,0.0098515
5,611.167,1.62995,1.10753,1.23638,0.01426,0.85393,0.35544,0.3534,0.16856,1.81023,1.14941,1.38177,0,0.009802,0.009802,0.009802,0.009802
6,732.817,1.55017,1.03168,1.19704,0.01267,0.85145,0.34989,0.34531,0.16615,1.79459,1.18336,1.38896,0,0.0097525,0.0097525,0.0097525,0.0097525
7,854.469,1.47252,0.97058,1.16409,0.01144,0.86086,0.34203,0.34598,0.16831,1.80471,1.18431,1.39997,0,0.009703,0.009703,0.009703,0.009703
8,975.957,1.40274,0.91316,1.13227,0.01152,0.85585,0.34865,0.34695,0.16687,1.81832,1.17487,1.41438,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1097.39,1.33661,0.87047,1.1023,0.0124,0.85191,0.35145,0.35369,0.1696,1.82992,1.15933,1.42753,0,0.009604,0.009604,0.009604,0.009604
10,1219.05,1.27422,0.82005,1.07688,0.01225,0.85652,0.33879,0.34151,0.16347,1.83879,1.20625,1.43309,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1340.5,1.21909,0.77358,1.05098,0.01129,0.84848,0.33185,0.33661,0.16144,1.8551,1.24011,1.4723,0,0.009505,0.009505,0.009505,0.009505
