epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,130.084,2.49588,2.49964,1.9373,0.07016,0.30552,0.30778,0.30036,0.12819,1.95691,1.49803,1.53187,0,0.00332538,0.00332538,0.00332538,0.00332538
2,257.571,1.86128,1.40604,1.37378,0.01487,0.83675,0.33579,0.32914,0.13752,2.00615,1.35959,1.50263,0,0.00662575,0.00662575,0.00662575,0.00662575
3,384.808,1.79605,1.30511,1.32184,0.01787,0.34089,0.34695,0.33566,0.15726,1.80901,1.37393,1.39515,0,0.00989312,0.00989312,0.00989312,0.00989312
4,511.966,1.72926,1.2026,1.28751,0.01963,0.84996,0.35783,0.34381,0.16402,1.77329,1.20282,1.39226,0,0.0098515,0.0098515,0.0098515,0.0098515
5,639.016,1.62732,1.09916,1.23634,0.01661,0.84405,0.35366,0.34156,0.16517,1.7853,1.19204,1.3977,0,0.009802,0.009802,0.009802,0.009802
6,766.234,1.53276,1.02496,1.1916,0.01549,0.85051,0.35689,0.35674,0.17294,1.78622,1.13828,1.37156,0,0.0097525,0.0097525,0.0097525,0.0097525
7,893.374,1.46143,0.96191,1.15976,0.01399,0.85342,0.35515,0.35265,0.16364,1.87619,1.14868,1.45967,0,0.009703,0.009703,0.009703,0.009703
8,1020.45,1.39046,0.90468,1.12693,0.01434,0.85265,0.34981,0.34989,0.16806,1.82539,1.14091,1.42126,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1147.62,1.32892,0.85961,1.09744,0.013,0.85612,0.35474,0.34918,0.16871,1.82156,1.13149,1.40933,0,0.009604,0.009604,0.009604,0.009604
10,1274.7,1.26332,0.81037,1.07203,0.01255,0.85082,0.35175,0.34663,0.16464,1.85131,1.13247,1.44538,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1401.68,1.20673,0.7657,1.04706,0.01286,0.84859,0.33609,0.33618,0.15846,1.88004,1.23646,1.47598,0,0.009505,0.009505,0.009505,0.009505
12,1528.76,1.15346,0.72624,1.02418,0.01227,0.85907,0.34395,0.34436,0.16345,1.85114,1.16107,1.44986,0,0.0094555,0.0094555,0.0094555,0.0094555
13,1655.82,1.09989,0.68793,1.00219,0.01139,0.85355,0.33489,0.33673,0.16072,1.85974,1.25691,1.46506,0,0.009406,0.009406,0.009406,0.009406
14,1782.8,1.06156,0.65409,0.98622,0.00976,0.84956,0.32372,0.32708,0.15576,1.88173,1.29259,1.49534,0,0.0093565,0.0093565,0.0093565,0.0093565
15,1909.71,1.02186,0.62221,0.97043,0.00905,0.34642,0.33766,0.33242,0.15846,1.87624,1.27414,1.49488,0,0.009307,0.009307,0.009307,0.009307
16,2036.75,0.98494,0.59249,0.95656,0.00909,0.345,0.33479,0.33157,0.15739,1.88775,1.28599,1.51685,0,0.0092575,0.0092575,0.0092575,0.0092575
17,2163.79,0.94444,0.56888,0.94127,0.00921,0.33981,0.31639,0.32045,0.15307,1.89795,1.39551,1.52774,0,0.009208,0.009208,0.009208,0.009208
18,2290.87,0.92143,0.54622,0.93326,0.00991,0.3357,0.31836,0.31878,0.15167,1.90229,1.42735,1.53203,0,0.0091585,0.0091585,0.0091585,0.0091585
19,2417.82,0.89256,0.52404,0.9228,0.00892,0.33443,0.33033,0.32067,0.15381,1.89386,1.36587,1.55078,0,0.009109,0.009109,0.009109,0.009109
20,2544.75,0.86572,0.50631,0.91399,0.00923,0.3382,0.31882,0.31648,0.15203,1.90076,1.4304,1.5538,0,0.0090595,0.0090595,0.0090595,0.0090595
21,2671.84,0.84301,0.4888,0.90453,0.00895,0.3356,0.33512,0.31992,0.15396,1.90881,1.46166,1.56055,0,0.00901,0.00901,0.00901,0.00901
22,2798.86,0.82224,0.47351,0.89781,0.00794,0.3385,0.31804,0.31954,0.15462,1.89521,1.41358,1.56308,0,0.0089605,0.0089605,0.0089605,0.0089605
23,2925.9,0.80263,0.45925,0.89058,0.00822,0.3445,0.31534,0.31947,0.15444,1.9057,1.44716,1.56984,0,0.008911,0.008911,0.008911,0.008911
